"cd_ubs","tx_ubs_nome","tx_ubs_sigla","cd_regiao","cd_ra","cnes","tipo_ubs","rural","telefone_unidade","endereco_unidade","horario_funcionamento","ponto_eletronico","agd_acesso_avancado","agd_ordem_chegada","agd_bloco_horas","agd_horario_marcado","agd_turno","realiza_ecg_ubs","farmaciafornecimento_usuarios","presenca_supervisao_farmaceutico","dispensacao_psicotropico","coleta_laboratorial","imunizacao","horario_funcionamento_sala_vacina","bcg","formato_uso_esus_ab","cadeiras_odonto_funcionamento","esf_completas","esf_incompletas","total_esf","total_esb","total_nasf","total_ecr","total_prisional","total_equipe_socio_educativo","latitude","longitude","the_geom","cd_gsap","nu_min_ent_inloco","tipologia"
50,"UNIDADE BÁSICA DE SAÚDE Nº 02 - SOBRADINHO","UBS Nº 02 - SOBRADINHO",5,24,"11231","UBS TIPO 2","NÃO","2017-1145 Ramal 1821","Quadra 03 Área Especial entre os Conjunto D/E, Sobradinho","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","8h às 18h - segunda a sexta ","SEGUNDA E QUINTA","OFFLINE","3","7","1","8","4","0","0","0","0","-15,654486","-47,809496","010100002042120000151F9F909DE747C03561FBC9184F2FC0",44,54,"C"
51,"UNIDADE BÁSICA DE SAÚDE Nº 02 - SOBRADINHO II","UBS Nº 02 - SOBRADINHO II",5,25,"7368895","UBS TIPO 2","NÃO","98485-0732","Rodovia DF 420, Complexo de Saúde, Setor de Mansões, ao lado da UPA Sobradinho","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","8h às 18h - segunda a sexta","TERÇA E QUINTA
(8h às 12h)","ONLINE","4","5","2","7","4","0","0","0","0","-15,639134","-47,819946","010100002042120000363E93FDF3E847C0F98557923C472FC0",74,54,"C"
52,"UNIDADE BÁSICA DE SAÚDE Nº 02 - TAGUATINGA","UBS Nº 02 - TAGUATINGA",7,26,"10928","UBS TIPO 2","NÃO","2017-1145, Ramal: 4600","QND LOTE ""A"" PRAÇA DO BICALHO","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUARTA - FEIRA","ONLINE","3","5","3","8","5","1","0","0","0","-15,810552","-48,063188","010100002042120000F4BF5C8B160848C02F6AF7AB009F2FC0",45,26,"B"
53,"UNIDADE BÁSICA DE SAÚDE Nº 03 - ASA NORTE","UBS Nº 03 - ASA NORTE",2,15,"11355","UBS TIPO 2","NÃO","2017-1145 Ramal 7621","Rua Piauí, área especial s/nº - Vila Planalto","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08 às 18:30h segunda à sexta e sábado 08 às 12:00h","QUARTA - FEIRA","ONLINE","2","1","4","5","2","1","0","0","0","-15,7953438","-47,848469","010100002042120000BD55D7A19AEC47C01927744D37972FC0",46,59,"B"
94,"UNIDADE BÁSICA DE SAÚDE Nº 05 - SOBRADINHO","UBS Nº 05 - SOBRADINHO",5,24,"6770657","UBS TIPO 1","SIM","98582-5469","Área Especial 01, Lote 01, Associação de Moradores, Vila BASEVI, Sobradinho","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","CAUTELA","NÃO","NÃO","SIM - VOLANTE","SIM","8h às 16:30 - segunda a sexta ","NÃO","ONLINE","1","1","0","1","1","0","0","0","0","-15,646025","-47,889136","0101000020421200001FD95C35CFF147C0FBCBEEC9C34A2FC0",25,7,"B"
57,"UNIDADE BÁSICA DE SAÚDE Nº 03 - GAMA","UBS Nº 03 - GAMA",8,7,"10847","UBS TIPO 2","NÃO","2017-1800 - Ramais 1885 e 5761","EQ 3/5, Área Especial, Setor Leste -Gama","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08h às 17:30h segunda a sexta, e a partir de outubro, também aos sábados das 8h as 12h","SEGUNDA E QUARTA","ONLINE","4","5","1","6","3","1","0","0","0","-16,005841","-48,052746","010100002042120000567F8461C00648C0D7F9B7CB7E0130C0",49,35,"B"
58,"UNIDADE BÁSICA DE SAÚDE Nº 03 - GUARÁ","UBS Nº 03 - GUARÁ",3,8,"11274","UBS TIPO 2","NÃO","2017-4751","QE 38 - Área Especial S/N - Guará II CEP 71.070-380","das 07h às 18h de segunda a sexta, e sábado das 07h às 12h","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","07:30h às 17:30h segunda a sexta","TERÇA E QUINTA","OFFLINE","3","6","0","6","4","1","0","0","0","-15,848998","-47,970083","010100002042120000EAB303AE2BFC47C023BDA8DDAFB22FC0",50,35,"B"
59,"UNIDADE BÁSICA DE SAÚDE Nº 03 - ITAPOÃ","UBS Nº 03 - ITAPOÃ",4,9,"9572481","UBS TIPO 2","NÃO","2017 - 2241","QUADRA 378, CONJUNTO A, LOTE 4 - CEP 71593620","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","4","0","4","2","0","0","0","0","-15,744625","-47,761213","0101000020421200002025766D6FE147C06891ED7C3F7D2FC0",34,35,"C"
60,"UNIDADE BÁSICA DE SAÚDE Nº 03 - PARANOÁ","UBS Nº 03 - PARANOÁ",4,12,"9572511","UBS TIPO 2","NÃO","2017 - 2220/ 2221","QUADRA 02, Conjunto ""A"", AREA ESPECIAL S/N, Antiga Biblioteca, Paranoá, CEP 71.570-201","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","SIM","SIM","NÃO","SIM","07h às 18h de segunda a sexta feira","NÃO","ONLINE","2","5","1","6","3","1","0","0","0","-15,779826","-47,781357","01010000204212000016C0948103E447C018247D5A458F2FC0",51,35,"C"
62,"UNIDADE BÁSICA DE SAÚDE Nº 03 - RECANTO DAS EMAS","UBS Nº 03 - RECANTO DAS EMAS",7,16,"7170939","UBS TIPO 2","NÃO","3404-2964","QUADRA 104/105 ÁREA ESPECIAL","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","SIM","SIM","NÃO","SIM","SIM","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","TERÇA - FEIRA","ONLINE","5","3","4","7","7","1","0","0","0","-15,902435","-48,074176","010100002042120000F51263997E0948C01288D7F50BCE2FC0",53,26,"B"
63,"UNIDADE BÁSICA DE SAÚDE Nº 03 - RIACHO FUNDO II","UBS Nº 03 - RIACHO FUNDO II",3,18,"2660199","UBS TIPO 2","NÃO","2017-1145 (R-6200/6201)","QN 07 A e B Lts. 1 e 2 A/E Riacho Fundo II CEP: 71880-203","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","3","1","4","0","1","0","0","0","-15,905892","-48,045933","0101000020421200005167EE21E10548C0836A8313D1CF2FC0",40,35,"D"
64,"UNIDADE BÁSICA DE SAÚDE Nº 03 - SAMAMBAIA","UBS Nº 03 - SAMAMBAIA",7,19,"10677","UBS TIPO 2","NÃO","2017-2200, Ramal: 5021","QN 429 CONJ F LOTE 1 EXPANSÃO","das 07h às 18h de segunda a sexta","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM","SIM","07:30h às 17:30h segunda a sexta","TERÇA - FEIRA","ONLINE","2","3","0","3","2","0","0","0","0","-15,890241","-48,142062","0101000020421200008F006E162F1248C0DE1D19ABCDC72FC0",54,10,"A"
65,"UNIDADE BÁSICA DE SAÚDE Nº 03 - SANTA MARIA","UBS Nº 03 - SANTA MARIA",8,20,"3144550","UBS TIPO 1","NÃO","2017-1700 - Ramal 5880","QD 100 Conjunto I, Lote 1 Área Especial - Santa Maria","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","VOLANTE (quinze dias a cada quarta feira)","08:30h às 16:00 (de 15 em 15 dias âs quartas feiras)","NÃO","ONLINE","0","1","0","1","1","0","0","0","0","-16,04734","-48,03692","010100002042120000BF4868CBB90448C0EACA67791E0C30C0",65,7,"C"
66,"UNIDADE BÁSICA DE SAÚDE Nº 03 - SÃO SEBASTIÃO","UBS Nº 03 - SÃO SEBASTIÃO",4,21,"3212068","UBS TIPO 1","NÃO","6300 / 99198-7650 - GSAP :6252/ 6253","QD 301 CONJ 6 LOTE 1 - SÃO SEBASTIÃO","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","SIM","Todas as terças, quartas e quintas-feiras de 09h às 16h","NÃO","OFFLINE","1","2","0","2","1","0","0","0","0","-15,907718","-47,777617","01010000204212000025E82FF488E347C026FBE769C0D02FC0",43,22,"D"
67,"UNIDADE BÁSICA DE SAÚDE Nº 03 - SOBRADINHO","UBS Nº 03 - SOBRADINHO",5,24,"11568","UBS TIPO 2","NÃO","Não possui linha telefônica","Área Especial Novo Setor de Mansões Nova Colina, Sobradinho","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","NÃO","SIM - DIÁRIO","SIM","8h às 18h - segunda a sexta ","QUARTA - FEIRA
(8h às 12h)","OFFLINE","3","6","0","6","5","1","0","0","0","-15,647957","-47,755315","010100002042120000D1967329AEE047C0B56D1805C14B2FC0",67,35,"B"
68,"UNIDADE BÁSICA DE SAÚDE Nº 03 - SOBRADINHO II","UBS Nº 03 - SOBRADINHO II",5,25,"6770681","UBS TIPO 1","NÃO","Não possui linha telefônica","Condomínio Vale dos Pinheiros, Quadra 45 A, Conjunto A, Lote 56, Sobradinho II,","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","SIM","8h às 16:30 - segunda a sexta","NÃO","OFFLINE","2","1","0","1","1","0","0","0","0","-15,620906","-47,821668","010100002042120000BA15C26A2CE947C0C5C72764E73D2FC0",81,7,"B"
69,"UNIDADE BÁSICA DE SAÚDE Nº 03 - TAGUATINGA","UBS Nº 03 - TAGUATINGA",7,26,"10936","UBS TIPO 1","NÃO","2017-4611","QNL 01 AE 02","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","SIM","SIM","SIM","SIM","SIM","SIM","07:30h às 17:30h segunda a sexta","QUARTA - FEIRA","ONLINE","3","3","3","6","3","1","0","0","0","-15,833137","-48,077682","01010000204212000073BED87BF10948C0D42CD0EE90AA2FC0",57,20,"B"
73,"UNIDADE BÁSICA DE SAÚDE Nº 04 - GUARÁ","UBS Nº 04 - GUARÁ",3,8,"11657","UBS TIPO 1","NÃO","2017-1145 (R-4874)","QELC - EQ 2 /3 - Conjunto Lúcio Costa CEP: 71.100-100","das 07h às 17h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","NÃO","NÃO","SIM","07:30h às 16:30h segunda a sexta","TERÇA - FEIRA","OFFLINE","1","2","0","2","1","0","0","0","0","-15,810198","-47,988598","0101000020421200000D7217618AFE47C0B891B245D29E2FC0",60,22,"B"
74,"UNIDADE BÁSICA DE SAÚDE Nº 04 - PARANOÁ","UBS Nº 04 - PARANOÁ",4,12,"11606","UBS TIPO 1","SIM","2017 - 2210/ 2211","DF 285 KM 23 AE NR JARDIM II - PARANOÁ","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","VOLANTE (quarta - feira)","Às quartas-feiras de 09 às 11:30h; 13:30h às 16h","NÃO","OFFLINE","1","1","0","1","0","0","0","0","0","-16,016937","-47,380063","010100002042120000B7B585E7A5B047C0A417B5FB550430C0",35,7,"D"
75,"UNIDADE BÁSICA DE SAÚDE Nº 04 - PLANALTINA","UBS Nº 04 - PLANALTINA",5,14,"6216013","UBS TIPO 2","NÃO","2017-1350 Ramais 1290 e 1291","Estância Nova Planaltina Quadra 02 Rua A Área Especial, Estância","das 07h às 18h de segunda a sexta, e sábado das 07h às 12h","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","8h às 18h - segunda a sexta-feira","TERÇA E QUINTA
(8h às 12h)","OFFLINE","3","8","0","8","5","1","0","0","0","-15,619782","-47,680616","0101000020421200003291D26C1ED747C0884CF910543D2FC0",90,54,"B"
76,"UNIDADE BÁSICA DE SAÚDE Nº 04 - RECANTO DAS EMAS","UBS Nº 04 - RECANTO DAS EMAS",7,16,"7417632","UBS TIPO 2","NÃO","3331-4773","QUADRA 308 ÁREA ESPECIAL","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUARTA - FEIRA","ONLINE","4","4","2","6","5","1","0","0","0","-15,919922","-48,101999","010100002042120000C39CA04D0E0D48C0E8BD310400D72FC0",62,20,"A"
77,"UNIDADE BÁSICA DE SAÚDE Nº 04 - RIACHO FUNDO II","UBS Nº 04 - RIACHO FUNDO II",3,18,"2673924","UBS TIPO 1","SIM","2017-1291 (R-6422) 2017-1293 (R-6424)","Área Especial 01 - CAUB 1 - Ao lado da Escola","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","OFFLINE","1","0","1","1","1","0","0","0","0","-15,947478","-48,015149","01010000204212000097C80567F00148C0E65B1FD61BE52FC0",21,7,"C"
78,"UNIDADE BÁSICA DE SAÚDE Nº 04 - SAMAMBAIA","UBS Nº 04 - SAMAMBAIA",7,19,"10685","UBS TIPO 2","NÃO","3358-1335","QN 512 CONJ. 2 LT 1/2/3","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","SIM","SIM","SIM","SIM","SIM","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUINTA - FEIRA","ONLINE","3","4","2","6","3","0","0","0","0","-15,878564","-48,069142","010100002042120000D86322A5D90848C0CAE2FE23D3C12FC0",63,20,"C"
84,"UNIDADE BÁSICA DE SAÚDE Nº 05 - CEILÂNDIA","UBS Nº 05 - CEILÂNDIA",6,4,"11010","UBS TIPO 2","NÃO","2017-2076/ 4460/4461/4462","QNM 16 MÓDULO F ÁREA ESPECIAL SEM NÚMERO","9 às 22h segunda a sexta e sábado 07 às 12h","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","NÃO","NÃO","SIM ","SIM","07:30h às 17:30h segunda a sexta","QUINTA - FEIRA","ONLINE","3","4","2","6","2","0","0","0","0","-15,80327778","-48,11177778","0101000020421200007EC2FABB4E0E48C02F68A539479B2FC0",68,35,"C"
85,"UNIDADE BÁSICA DE SAÚDE Nº 05 - GAMA","UBS Nº 05 - GAMA",8,7,"10863","UBS TIPO 2","NÃO","2017-5980","Área Especial, Lote 38 - Setor Central - Lado Leste - Gama","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","NÃO","SIM - DIÁRIO","SIM","08h às 17:30h segunda a sexta","TERÇA E SEXTA","ONLINE","4","3","1","4","4","1","0","0","0","-16,023375","-48,061551","0101000020421200009F0436E7E00748C0448B6CE7FB0530C0",69,35,"B"
87,"UNIDADE BÁSICA DE SAÚDE Nº 05 - PARANOÁ","UBS Nº 05 - PARANOÁ",4,12,"11614","UBS TIPO 1","SIM","2017 - 2190/ 2191","DF 130 KM 54, Quebrada Dos Neres, Paranoá","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","CAUTELA","NÃO","NÃO","NÃO","VOLANTE (quinta e sexta - feira)","Às quintas e sextas-feiras de 09 às 11:30h; 13:30h às 16h","NÃO","OFFLINE","1","1","0","1","1","0","0","0","0","-15,963007","-47,557766","0101000020421200000E6954E064C747C05DA3E5400FED2FC0",35,7,"B"
88,"UNIDADE BÁSICA DE SAÚDE Nº 05 - PLANALTINA","UBS Nº 05 - PLANALTINA",5,14,"6216021","UBS TIPO 2","NÃO","2017-1145 Ramal 1294","Quadra 12 D Conjunto A Área Especial, Arapoanga, Planaltina","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","SIM - DIÁRIO","SIM","8h às 18h - segunda a sexta-feira","TERÇA E QUINTA
(8h às 12h)","OFFLINE","4","7","1","8","7","1","0","0","0","-15,63932","-47,647083","0101000020421200001766A19DD3D247C0815B77F354472FC0",94,54,"B"
91,"UNIDADE BÁSICA DE SAÚDE Nº 05 - SAMAMBAIA","UBS Nº 05 - SAMAMBAIA",7,19,"6921736","UBS TIPO 2","NÃO","2017-1145, Ramal: 4851/5050","QN 523 AE 01","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","3","4","0","4","4","0","0","0","0","-15,898576","-48,120967","0101000020421200009772BED87B0F48C0E5F0492712CC2FC0",72,20,"C"
98,"UNIDADE BÁSICA DE SAÚDE Nº 06 - CEILÂNDIA","UBS Nº 06 - CEILÂNDIA",6,4,"11029","UBS TIPO 2","NÃO","2017-1145","EQNP 10/14 MÓDULO E,F,G, H -","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","SIM","SIM","SIM","SIM","SIM ","SIM","07:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUINTA - FEIRA","ONLINE","3","5","1","6","4","1","0","0","0","-15,84019444","-48,11419444","010100002042120000AF9764EC9D0E48C07D2934F72DAE2FC0",76,35,"B"
99,"UNIDADE BÁSICA DE SAÚDE Nº 06 - GAMA","UBS Nº 06 - GAMA",8,7,"10871","UBS TIPO 2","NÃO","2017-5791 - Ramal 5790","Entrequadra 12/16, Área Especial - Setor Oeste - Gama","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08h às 18:30h segunda a sexta e sábado de 08h às 11:30h","TERÇA - FEIRA","ONLINE","2","6","0","6","3","1","0","0","0","-16,011394","-48,073777","01010000204212000037195586710948C0E15E99B7EA0230C0",77,35,"B"
102,"UNIDADE BÁSICA DE SAÚDE Nº 06 - SAMAMBAIA","UBS Nº 06 - SAMAMBAIA",7,19,"7053754","UBS TIPO 1","NÃO","3458-7559","QS 122 CONJ. 06 LOTE 01","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","3","3","1","4","3","0","0","0","0","-15,870118","-48,058478","0101000020421200008BC404357C0748C06552431B80BD2FC0",79,20,"D"
103,"UNIDADE BÁSICA DE SAÚDE Nº 06 - SANTA MARIA","UBS Nº 06 - SANTA MARIA",8,20,"3144607","UBS TIPO 1","NÃO","2017-1700 - Ramal 5870","QR 202/203, Área Especial - Santa Maria","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","VOLANTE (semanal âs quarta feiras)","08:30h às 16:30h - quarta-feira","NÃO","ONLINE","0","1","1","2","0","0","0","0","0","-16,0401","-48,03064","01010000204212000087F9F202EC0348C0D1915CFE430A30C0",65,22,"C"
104,"UNIDADE BÁSICA DE SAÚDE Nº 06 - SÃO SEBASTIÃO","UBS Nº 06 - SÃO SEBASTIÃO",4,21,"3212017","UBS TIPO 1","NÃO","6320/ 6321 TEL. 2017-1381 GSAP: 6322/ 6323","CONJUNTO 5 CASA 1 SÃO FRANCISCO - SÃO SEBASTIÃO","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","CAUTELA","NÃO","NÃO","NÃO","SIM","Toda quarta feira de 9h às 16h","NÃO","ONLINE","0","1","0","1","0","0","0","0","0","-15,914607","-47,760687","01010000204212000005BF0D315EE147C0A662635E47D42FC0",55,7,"D"
105,"UNIDADE BÁSICA DE SAÚDE Nº 06 - SOBRADINHO","UBS Nº 06 - SOBRADINHO",5,24,"2804387","UBS TIPO 1","SIM","98656-7738","DF 001 KM 120 Rua 08 Chácara 187 Lago Oeste, Sobradinho","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","SIM - VOLANTE","SIM","8h às 16:30 - segunda a sexta ","NÃO","ONLINE","1","1","0","1","1","0","0","0","0","-15,618981","-47,948493","01010000204212000012BEF73768F947C0D5B0DF13EB3C2FC0",25,7,"B"
106,"UNIDADE BÁSICA DE SAÚDE Nº 06 - SOBRADINHO II","UBS Nº 06 - SOBRADINHO II",5,25,"7041594","UBS TIPO 1","NÃO","Não possui linha telefônica","Condomínio Vale das Acácias, Quadra 12, Lote 01, Sobradinho II","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","SIM","8h às 16:30 - segunda a sexta","NÃO","OFFLINE","0","1","0","1","0","0","0","0","0","-15,62289","-47,836444","010100002042120000BC77D49810EB47C0C9022670EB3E2FC0",81,7,"D"
107,"UNIDADE BÁSICA DE SAÚDE Nº 06 - TAGUATINGA","UBS Nº 06 - TAGUATINGA",7,26,"10952","UBS TIPO 2","NÃO","3352-8508","SETOR C SUL AE 01","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUINTA - FEIRA","ONLINE","2","7","2","9","3","1","0","0","0","-15,836387","-48,062946","010100002042120000FEB4519D0E0848C05F99B7EA3AAC2FC0",82,26,"C"
109,"UNIDADE BÁSICA DE SAÚDE Nº 07 - CEILÂNDIA","UBS Nº 07 - CEILÂNDIA",6,4,"11037","UBS TIPO 2","NÃO","2017-2065","QNO 10 ÁREA ESPECIAL D/E - 72.255-000","10 às 22h segunda a sexta e sábado 07 às 12h","SIM","#REF!","#REF!","#REF!","#REF!","#REF!","NÃO","SIM","SIM","SIM","SIM ","SIM","07:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","QUARTA - FEIRA","ONLINE","3","5","1","6","3","1","0","0","0","-15,795757","-48,131051","010100002042120000D68D7747C61048C04B2025766D972FC0",83,35,"B"
110,"UNIDADE BÁSICA DE SAÚDE Nº 07 - GAMA","UBS Nº 07 - GAMA",8,7,"10898","UBS TIPO 1","NÃO","2017-1145 - Ramal 5486 e 5485","Área Especial - Estádio Bezerrão - Setor Central - Gama","das 07h às 17h de segunda a sexta","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","NÃO","ONLINE","0","2","1","3","0","1","0","0","0","-16,013508","-48,067649","010100002042120000B64DF1B8A80848C0003CA242750330C0",84,22,"E"
111,"UNIDADE BÁSICA DE SAÚDE Nº 07 - PARANOÁ","UBS Nº 07 - PARANOÁ",4,12,"7075596","UBS TIPO 1","SIM","99253-2431","DF 270 KM 02 CAFÉ SEM TROCO - PARANOÁ","das 07h às 17h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","CAUTELA","NÃO","NÃO","SIM - DIÁRIO","VOLANTE (terça - feira)","Às terças-feiras de 09 às 11:30h; 13:00h às 16h","NÃO","OFFLINE","0","1","0","1","1","1","0","0","0","-15,939568","-47,599129","010100002042120000E78A5242B0CC47C07BBC900E0FE12FC0",35,7,"B"
112,"UNIDADE BÁSICA DE SAÚDE Nº 07 - PLANALTINA","UBS Nº 07 - PLANALTINA",5,14,"2360233","UBS TIPO 1","NÃO","Não possui linha telefônica","Entrequadras 03/04 Área Especial 02, Jardim Roriz, Planaltina","das 07h às 18h de segunda a sexta","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","NÃO","NÃO","NÃO","SIM","8h às 16:30 - segunda a sexta","QUARTA - FEIRA","OFFLINE","0","3","0","3","0","0","0","0","0","-15,602764","-47,648284","010100002042120000914259F8FAD247C08C69A67B9D342FC0",36,22,"D"
114,"UNIDADE BÁSICA DE SAÚDE Nº 07 - SAMAMBAIA","UBS Nº 07 - SAMAMBAIA",7,19,"7299877","UBS TIPO 2","NÃO","não tem","QD 302 CONJ. 05 LOTE 01","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","NÃO","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","NÃO","NÃO","SIM"," 7:30h às 18:30h segunda a sexta e sábado 07:30h às 11:30h","TERÇA - FEIRA","ONLINE","5","4","2","6","5","0","0","0","0","-15,877945","-48,082666","010100002042120000DE3EABCC940A48C09A5FCD0182C12FC0",86,26,"C"
3,"UNIDADE BÁSICA DE SAÚDE Nº 01 - ASA NORTE","UBS Nº 01 - ASA NORTE",2,15,"10707","UBS TIPO 2","NÃO","2017-1900 ramal 7606 ou 7608","SGAN 905 modulo D - Asa Norte","das 07h às 19h de segunda a sexta, e sábado das 07h às 12h ","SIM","NÃO","SIM","NÃO","NÃO","NÃO","SIM","SIM","SIM","SIM","SIM - DIÁRIO","SIM","08 às 18:30h segunda a sexta e sábado 08 às 11:30h","TERÇA E SEXTA","ONLINE","2","0","5","5","3","0","0","0","0","-15,7733019","-47,8924184","010100002042120000A02C21C43AF247C08CDE043AEE8B2FC0",4,59,"C"
4,"UNIDADE BÁSICA DE SAÚDE Nº 01 - ASA SUL","UBS Nº 01 - ASA SUL",2,15,"11150","UBS TIPO 2","NÃO","20171900 ramal 7448","SGAS 612 - Lotes 38/39 CEP: 70200-700","das 07h às 22h de segunda a sexta","SIM","NÃO","NÃO","NÃO","SIM","NÃO","NÃO","SIM","SIM","SIM","NÃO","SIM","08 às 18:30h segunda à sexta ","TERÇA E SEXTA","ONLINE","2","0","7","7","4","1","1","0","0","-15,832798","-47,90942","010100002042120000062AE3DF67F447C03259DC7F64AA2FC0",5,94,"C"
