idfile,idreuniao,dsfile,nmfile,dtupload,dsextensao
39e370da4c95bbc58636c670a1bd639e,6229,Relatório Oficina Stratuss,Oficina Strattus 24,2009-10-06,doc
39f37a40991c77946c57fd619949d9dd,3311,RELATÓRIO DE REUNIÃO,2009_03_11 29 ROSA,2009-03-23,doc
3a09174bc65333de0ebdc23d70964ef0,7797,Ata,ATA 31,2010-01-20,doc
3a1efb07d5fb006ec698c2c63486beaa,12182,Reunião Realizada em 24/07/2012.,Reunião Rural 24.07.12,2012-07-27,doc
3a466f716a4a7aacaf1f8f8c07207aad,3092,ata da reunião,Ata de reunião 64 05 02 09,2009-02-18,doc
3a4a352d39e15ff9d77ae5de678803b6,6542,pauta da reunião,14.09.2009,2009-11-06,doc
3a5040280785630f1729f3a76a6ecbf5,7841,Ata,ATA 10,2010-01-25,doc
3a6656f8e6a164b9c66a285f1ca626c0,7763,Ata,ATA 33,2010-01-19,doc
3a6ff02be9213f2573b7f1b559542721,10750,Ata da reunião realizada em 16/03/11,Reunião Rural 16.03.11,2011-04-05,doc
3aa64d135e1e5db19743546497062fd1,8964,Ata de Reunião,Ata Reunião 08 06 2010,2010-06-30,doc
3aabe1fc929715f197db8fc22f59dfab,5527,Relatório de reunião,padarias 18.08.2009,2009-09-01,doc
3aac8399a3e848defd84b8e906eef424,7792,Lista Presença,lista,2010-01-20,doc
3ad3bea00ec9e0f9497acfc9a31583b2,1402,Ata,Ata 7,2008-08-28,doc
3af68b26f810e3626f8ae0dcbd797840,3153,Indicação Diretor de Turismo,Carta ao Prefeito,2009-03-02,doc
3b028ed49549b9dfbe55ad3a816b58a3,2352,Reunião10 17.03,reunião10  17.03,2008-11-11,doc
3b1a5a6206e2c4e7fa0870a9ef048116,4836,Reunião núcleo varejo de roupas e calçados.,nucleo varejo roupas 6 julh,2009-07-14,jpg
3b1f64068af9e40925155209dd6d0ea6,11112,Apresentação Agencia do Trabalhador,Agencia_folder_30-anos,2011-06-09,ppt
3b306dce0e2dd109fcd41b7dc6084c30,2093,ATA 35ª REUNIÃO,ATA CONF 35ª 26092007,2008-10-22,doc
3b667d4fe83661a614f86cb8cb3b7578,9614,Foto dos empresários,Edit 1,2010-09-06,jpg
3ba5e3e3ab75d56df095b5f64ea60de7,9621,Foto 2/3 Reunião,Reunião 11-08-2010_2.JPG,2010-09-06,jpg
3ba916baaef269e52bea4c65722ec360,1446,relatorio de reunião,"13, relatório de reunião brotasbrasil",2008-09-03,doc
3bb79ed8d1ac8024c477ab6ac38573a3,7834,21º Relatório A&R 08,21º Reunião N. Beleza- A&R,2010-01-23,doc
3bb93d82489cab9fc3965c8c586912a0,1659,Ata 5ª reunião,Rel.Reunião Núcleo-Conf.5ª reunião,2008-09-22,doc
3bc5cea448eaeb7ebdc7e92fb6c2cb09,10183,Lista de presença 2,16 de Novembro_2.JPG,2010-11-24,jpg
3be21e559241aa2e865f5856cf99bdb1,2063,ATA 25ª REUNIÃO,ATA CONF 25ª 27092005,2008-10-22,doc
3bed849c0bcbc88d29988d3eff732ffc,12673,Reunião Realizada em 21/03/2013,Hospedaem 21.03.13 - trab. Cafe c. Parceiros,2013-03-26,doc
3bfbec52399584932dafac231b51b003,2090,ATA 34ª REUNIÃO,ATA CONF 34ª 28072007,2008-10-22,doc
3c10041cef2e9dfe48e743b7d9040d22,12010,Reuniões realizadas em 30/04/2012,Reunião de Artesanato - 30.04.12 - fiscaliz + reposição,2012-05-11,doc
3c5a170ff51db07f567cb656dd10cf4f,2852,ATA,ATA ART 57ª 02062007,2008-12-24,doc
3ca7634b5f605ae6b1db3d2d8972c0c5,5134,relatorio,Panificadoras 14 Julho,2009-08-08,doc
3cd525aee5c94c59e9ecf00581f701c2,2067,ATA 28ª REUNIÃO,ATA CONF 28ª 02052006,2008-10-22,doc
3cdaefbd87d5b29b7a412f0744da3dee,7823,10º Relatório A&R 08,10º Reunião N. Beleza- A&R,2010-01-23,doc
3ce4a356ba9f11d3e4dd326fe243eb59,12628,Reunião Realizada em 14/02/2013.,Reunião NAES 14.02.13,2013-02-15,doc
3cfb756d68d375b144dd75d0814b2650,12828,Foto do Stand de Socorro no 1º dia do Evento,01.05 (6).JPG,2013-05-15,jpg
3d143fbc5464b2133c23e0123bef1f76,1427,ata da reunião,12 Ata de reunião  25 08 08 e 27 08 08,2008-08-29,doc
3d1508ca6a06fd968e16430375b641c2,7301,FOTO LANÇAMENTO,empreender 2,2009-12-15,jpg
3d3510bb16fa561130b493de09b0145e,438,REUNIÃO 68,68 R.SBZ 04-2008 ACIT,2008-05-08,doc
3d86798323f5ecb10683e319e40b0caf,8637,Ata de reuniao,ATA REUNIÃO - A E R - SISTEMA JUNCO12MAIO2010,2010-05-13,doc
3d8f9553c8da33c210d9cf3d54beaef7,11851,Reunião realizada em 23/01/2012.,Reunião Aventura 23.01.12,2012-02-08,doc
3da4115999f7a0acbf2cba6e3f34df9e,2948,Reunião 18/09/07,LISTA PRESENÇA  18 09,2009-01-07,doc
3da93e43555a028de2ce63c73b010fe7,12097,Reunião Realizada em 04/06/2012.,Reunião Aventura - 04.06.2012,2012-06-21,doc
3db229208d1a5ce7b7c049664b4ff38c,8153,ATA,ATA 34,2010-02-27,doc
3db83a8e77c53979070310bf46b8949f,5920,lista presença 3,doc22092009134000,2009-09-22,pdf
3dd74318a90bdf2af67366404764c3f3,2845,ATA,ATA ART 50ª 24022007,2008-12-24,doc
3df04b5d86ef4f515564f9fb7ca69b9f,2792,Ata de Reunião dia 08/12,ATA DE REUNIÃO NÚCLEO DE FARMÁCIA DE PONTA GROSSA,2008-12-15,doc
3df7bb9cfd44aebb2af6f489cc9f94cd,12100,Reunião Realizada em 15/06/2011,Reunião do Rural 15.06.2011,2012-06-22,doc
3e1d0ffc0d3bcd339acccb47e206f031,997,ata da reunião,01 Ata de reunião,2008-07-28,doc
3e24352232718bbbcd7bedccdfa86bc7,1421,ata da reunião,Ata de reunião 51 13 08 08,2008-08-29,doc
3e3b3593cb584bc3ca28b96eefdc188b,8595,Relatório - 05/04/2010,221 RT - 05-04-2010,2010-05-07,doc
3e924d72c8dc2a2212ad30eb48c5ceab,12852,ATA,2013_01 ACIM IMPRENSA Relatório de Reunião 16-01-2013,2013-05-20,docx
3ea415f83989ec86d127085af11fe658,5728,quarta reunião,4-quarta reunião nucleo bazares,2009-09-14,doc
3eaa39c03fdd1225767bea2dca673699,12724,ATA,2013_02 ACIM PORTO Relatório de Reunião 19-02-2013,2013-04-16,docx
3eb4bf989593d256445175e2f95eab26,9836,Ata 97ª Reunião,ATA ART 97ª 09102010,2010-10-11,doc
3ed738ef8ebde942bcfc6de3d7ec3a35,12581,Reunião Realizada em 10/10/2011.,Reunião do Aventura 10.10.2011 -,2013-01-17,doc
3ef085280caae60982eef07d892947fe,7789,Ata,ATA 23 - reunião NERAV,2010-01-20,doc
3efe52178f2daebe74dda0eef7c7382f,6731,Ata Grarp 18 11 2009,Ata de Reunião 136 - 18 11 09,2009-11-23,doc
3f036829034eebde7bb18473b6813c24,7813,Lista Presença,lista,2010-01-22,doc
3f0d6d82f1a090e4445d0b14de3b23e9,7695,9º Relatório A&R,9º Relatório - A&R  05-05-09,2010-01-18,doc
3f137b7a67e273f1f481460aa538b0e6,6988,RELATORIO,reunião 35 05.11,2009-12-02,doc
3f19530b68684852810b655d274b2d27,2386,REUNIÃO DO NÚCLEO DA MASSSAGEM,61  R.MSG 09 2008,2008-11-12,doc
3f1dfa915aafbb2dade31002a8b8f9e2,6335,lista1,visagismo 1,2009-10-21,pdf
3f25eebc7582c1c0d125ae5f0cb3c22c,2775,Reunião 14/05/2007,LISTA PRESENÇA 14 05,2008-12-12,doc
3f26cf18b2be3b3e6317acfe248af2b2,2119,Relatório - 03/09,195 RT - 03-09-2008,2008-10-22,doc
3f34e70d517bbb8e444b56b2eba031a7,7832,19º Relatório A&R 08,19º Reunião N. Beleza- A&R,2010-01-23,doc
3f3c9ec16abbfa16af3ee07a01cede7f,991,reunião,P7240002.JPG,2008-07-26,jpg
3f6da73585c3596f76db4d52c920ad62,9302,Ata da Reunião,Ata de Reunião 02-2010,2010-08-02,doc
3f91ca3d5d846f1bc99e8e31fe0602ea,2938,Relatorio de reunião,Reunião 11.11.08,2008-12-30,doc
3fb844eff223d71f3fe18565f112767a,3763,relatório de reunião,solidarte 08.04.09,2009-05-05,doc
3fcd34ef826f0e948f989473199409e8,12920,Reunião Realizada em 06.06.13,ATA Hospedagem - 06.06.13,2013-06-12,doc
3fdb2997e74312ae5709fd402e711d82,10776,Lista de presença 2,05 de abril_2,2011-04-12,jpg
3fe48cb457a7ed7fdeb9806bf724d50d,2953,Solicitação da suspensão do núcleo,Relatório Mercado,2009-01-07,doc
3fe4fb063c712e246052a928299048bc,5703,3ª reunião,3-terceira reunião bazares........,2009-09-17,doc
402e3afb444806631ef292c6c92f3a34,10834,RELATÓRIO 19/04/2011,REUNIÃO 19042011,2011-04-20,doc
407e31897974c288e2ccdc7000bbee93,8344,Lista de presença,300809 036,2010-04-06,jpg
4083475da07935e0077a0734c6ecab1d,7678,38º Relatório A&R,38º Relatório - Curso Injeção Eletrônica,2010-01-16,doc
4092c20a0ec6ceb0f3009de7fce71d9f,6539,Pauta da reunião,Rede Amiga da Saúde 27.10.2009,2009-11-06,doc
40a2fd7e353e6920e078f7e6fdc60ff3,2165,ATA 7ª REUNIÃO,ATA ART 7ª 13082005,2008-10-24,doc
40aa54e8cf0f9fb3ebd35c054661bcdc,3111,3º Reunião com o Núcleo Automotivo,3º Relatório A&R- Automotivo,2009-02-23,doc
40b53788a64d491014b4231535595f0a,7281,RELATORIO,Relatório beleza e estética 05-08-09,2009-12-15,doc
40b6ffaaded8f86b0b650f2ba2bec1f3,5949,lista 1,doc23092009162939,2009-09-23,pdf
40c6afb73b7e85c93a2555828b0b6b89,7385,Reunião realizada no dia 02 de Dezembro de 2009,Ata 46-2009,2009-12-17,dot
40fa9ce7a570da6cff1fe6f96f144af7,6541,pauta da reunião,10.08.2009,2009-11-06,doc
4129cf965232ca0f2980fe0051169fbb,2984,RT - 19/11/2008,201 RT - 19-11-2008,2009-01-09,doc
41df3cd14f558186af32daa208297001,5033,Ata,Ata de reunião revenda dia 27-07,2009-07-29,doc
41f31bce8c98cbfccfe4771ef5ec1c45,12538,Reunião Realizada em 19/12/2012.,Reunião Rural 19.12.12,2012-12-21,docx
41fe4a027aac4d5b6ddcc29c9f138e8c,2881,REL MISSÃO TÉCNICA À FRANCA - RECIARTE,RELATÓRIO MISSÃO TÉCNICA FRANCA 09122006,2009-02-23,doc
42141a9650ce6f65b061a13340a6a0b9,912,teste,Anotações Não Arquivadas,2008-07-09,one
42197a2ad6beaa077d42ddca9dbda5de,4286,Reunião de formação núcleo reparadores automotivos,SDC10511.JPG,2009-06-17,jpg
421991b8ad9950318aa0ca29a6ea05be,10168,Lista de presença 2.,09 de novembro_2,2010-11-23,jpg
423aa0ea6825a3fb9e57bf1c8738225f,8789,FOTOS ENCONTRO,DSC06496.JPG,2010-06-09,jpg
424e6fbd79feff92c5a3e24622003904,5731,7ª reunião,7-sétima reunião bazares,2009-09-17,doc
425aac76bb17d63a7d237917d6b605b0,2976,Eventos na Praça,Relatório do evento dos dias 14 e 15 de dez,2009-01-08,doc
42640cde745131ecd240b3f920d4ad21,8341,Lista de presença,300809 088,2010-04-06,jpg
4267ca35502dde1f76b9c515aafc1073,10185,Lista de presença 2.,Curso de Atend. 19 de Novembro._2JPG.JPG,2010-11-24,jpg
426ea81a74f63d4700d3b8db31ff50d7,9153,Ata de Reunião,Ata de Reunião 101 - 06 07 10,2010-07-07,doc
42792541d1833d467d913cb1bd341fe6,5127,relatorio,Beleza 15-06,2009-08-08,doc
4283325cc7575e1499e69ff4c866b5a8,10776,Lista de presença 1.,05 de abril_1,2011-04-12,jpg
428a7e0bd2cea1fc802d3d9f550f15b1,12866,ATA,2012_06 ACIM JOVEM Relatório de Reunião 23-10-2012,2013-05-23,docx
4297ecfe81c9cbda81c604029d9ce864,2268,Ata de Reunião,ATA DE REUNIAO  Contabilidade 07 julho,2008-11-03,doc
42a44c4bdf01fea336a44bb7ca2be845,7893,8º Relatório A&R 09,8º Reunião N. Beleza- A&R,2010-01-28,doc
42ae4f7eda589446dd27769fbfbf9490,4977,relatorio da reunião,reunião minimercado,2009-07-23,doc
42b0be34cc9650f381655eb5ae00fa5e,3810,CONVOCAÇÃO 006,CONVOCAÇÃO REUNIÃO DAS AGÊNCIAS 006,2009-05-07,doc
42b3542caa91c15e705be5af6fd9fa4e,5738,Fortalezas do Núcleo,Fortalezas,2009-09-23,jpg
42bd130305000b9f6e371bc6303fcb5f,7733,Lista Presença 2,lista 12 .2,2010-01-18,doc
42bd130305000b9f6e371bc6303fcb5f,7778,Lista Presença 2,lista 12 .2,2010-01-19,doc
42d43a82317d552d9ed39df3ad8ec005,7589,Presença,Lista presença_12 nov,2010-01-04,jpg
431dbe68108e018afd997e664ed56958,2925,Relatorio de reunião,Reunião 16.06.08,2008-12-30,doc
4324945020ca21af85611077466793b0,11146,convite para seminário de crédito,_convite seminário,2011-06-20,doc
433d8167fb7f1e14e00420be2ede99f8,2871,ATA,ATA ART 76ª 07062008,2008-12-24,doc
434f12eccfb50949580bbbf81d922f32,10598,Foto da reunião 2,Imagem 2 - Const,2011-03-02,jpg
435861fcfec93b34dfd4720f6312af05,26,FOTO PLANEJAMENTO ESTRATÉGICO,imagem_412,2007-11-13,jpg
435d3e968d5764fb7de87a6fdb0ed7cd,11956,Reunião Reallizada em 21/12/2011,Reunião de Artesanato 21.12.11,2012-04-02,doc
435efafda296e8364e8d0946640789eb,9106,Foto da Dinâmica realizada.,10 de junho.JPG,2010-07-05,jpg
4362a260d45e08291de7294cd27e75d2,4717,relatorio,reunião 03 16.06,2009-07-08,doc
43646cd58fb5a80b0b2e5a89948bd115,3152,Ofício ao Prefeito,Carta ao Prefeito,2009-02-28,doc
43947415834439bffa606bcdef2b7aa0,12612,Reunião Realizada em 04/02/2013.,Reunião Aventura - 04.02.13,2013-02-06,docx
43a4851fdecbf46910a8584debaff44e,3013,ata de reunião,Ata de reunião 121 - 28 01 09,2009-01-29,doc
43a4851fdecbf46910a8584debaff44e,3014,ata da reunião,Ata de reunião 121 - 28 01 09,2009-01-29,doc
43b7d0c9c1425225454414eed747cb06,3148,Relatório da Reunião,2008_10_22 23,2009-02-28,doc
43ed872972d5a41528daf19ddaab2592,2785,Fechamento anual,Relatório de fechamento anual 2007,2008-12-12,doc
43f6897077913d902e1b2472964036dd,8466,Ata de Reunião,Relatorio de Reunião do Nucleo de Gastronomia em  25MAR2010,2010-04-17,doc
43fc36a313b4979508ed7a915c0b937e,2279,Ata de Reunião,ATA DE REUNIAO  Imobiliarias abril 23,2008-11-03,doc
442f04c83851a8be362be84a072e5265,11961,Reunião Realizada em 22/02/2012,Reunião de Artesanato 22.02.12,2012-04-03,doc
4432b01ab5727f79c9b07b29f92aeff3,1280,ata de reuniao do nucleo de varejistas,ATA DO NÚCLEO DE VAREJISTAS 26,2008-08-12,doc
443cd292f899a7dd6f802fd4253ba592,7283,RELATORIO,missão beauty fair 31-08-09,2009-12-15,doc
4448e544521ed859937a66a56f266343,7736,Ata,ATA 13 EXPO HAIR SEGUNDO DIA,2010-01-18,doc
444a0e3d54d0a259b3a39d6fe259cf1a,5738,Oportunidades do Núcleo,Oportunidades,2009-09-23,jpg
44508861ed46d3d7f13458aae76084f9,12723,ATA,2013_01 ACIM PORTO Relatório de Reuniao 22-01-2013,2013-04-16,doc
44509cb2810cd99129bfce4b5e55e9d5,4966,ATA,ATA 007- 2009 - Diretoria CMEI,2009-07-23,doc
447de602e777d9e3ee4146c38ebf1ac9,1701,RESUMO DOS TRABALHOS REALIZADOS,RESUMO DOS TRABALHOS DO PROJETO EMPREENDER,2008-09-23,docx
449897c5f41fc6063f48b1801004a258,5039,Atendimento,ata de reunião video locadora dia 23-07doc,2009-07-29,doc
44c04b20a064a53876c9c2b928be3ee5,12585,Reunião realizada em 28/02/2011,Reunião Aventura - 28.02.11,2013-01-21,doc
44c2a4d9b570375a59236bf47db2badf,13172,ATA N° 01,Ata n° 01-2013,2013-08-15,docx
44c2f70869eb9d9ff54f3e9ca70c979f,10441,Lista de presença 2;,18 de Janeiro_2,2011-01-20,jpg
44d25967a2628bb1509c6cc164a5fb18,2374,DEMONSTRAÇÃO DA TANAGRA,77 R.SBZ 13 -2008 ACIT,2008-11-12,doc
450246e210036b8fdc42b828bb103067,3612,Ata Da última reunião,Ata da 1º Reunião 2009,2009-04-23,doc
451b60c9b5959a5183a9d23b1b129356,13017,Reunião Realizada em 24/06/2013.,ATA Aventura - 24.06.13,2013-07-05,docx
45308967bdb6ea69cb67579e5cda7dee,5490,Relatório de reunião.,24.08.09,2009-08-31,doc
453b13fd8354dd891b21a3cc94af4141,2943,Reunoão 16/05/2007,LISTA PRESENÇA 16 05,2009-01-06,doc
453f860c1dd5770d64746bfd84c5d92d,1481,ata da reunião,Ata de reunião 57 - 02 09 08,2008-09-10,doc
453f8bb7edbfccf1de6eea5deb1b88d4,5508,Plano de ação,Rede Amiga da Saúde 28.07.09,2009-09-01,doc
4542f000c218b8441fd8541dbcd116a9,10949,planos de ação turismo,Plano de ação TURISMO cianorte - Cópia,2011-05-16,doc
4556d48ca00311daa56864817d1c663e,5495,Relatório de núcleo,solidarte 15.04.09,2009-08-31,doc
456e0b09de55008f29fca07c7231c66a,2944,Reunião 29/05/2007,LISTA PRESENÇA 29 05,2009-01-06,doc
4581060aceb41c2de3e134d6102bdcf6,1444,relatorio de reunião,"06, relatório de reunião",2008-09-03,doc
458a3ae70c9f99d943e92b87dc1be6c3,9329,Ata da Reunião,Ata 0 14-2010,2010-08-02,doc
458e7adf9fb5fb041ca8ce2570ae6171,10185,Lista de presença 1.,Curso de Atend. 19 de Novembro.JPG,2010-11-24,jpg
458f1473bef119e60346500bb91cddb2,5921,lista presença 2,doc22092009133838,2009-09-22,pdf
459e7c4394c9437344357b107206fcaa,8812,Relatório de reunião,Trabalhos programados 2009  GRAG 22 07,2010-06-11,doc
45aa97fb7ef3f2c11c27da6bef2137a0,179,Relatório PE 2008,Planejamento Estratégico 2008.,2008-03-17,doc
45aac310b48fc76ad1f7de42388b97ff,5270,Plano de ação - Feira ponta de estoque,Planilha de acao - Feira,2009-08-19,doc
45ae3b911c86195ae5ab9c304cf64eac,3515,RT - 06/04/2009,207 RT - 06-04-2009,2009-04-17,doc
45c1ed90c2f96bf8fdd1b6165cf7512b,12081,Reunião Realizada em 29/05/2012.,Reunião Rural 29.05.12,2012-06-04,doc
45cd8a0ef4cb3c4e9d5d76c67b2ff24a,4206,FOTO DA REUNIÃO,DSC00120.JPG,2009-06-10,jpg
45e0b0f2308906d5a0c062afc37beba8,8346,Lista de presença,300809 040,2010-04-06,jpg
4605075bdef095c0a34bc9c2f486e1f0,9918,Ata de reuniao,ATA REUNIÃO - A E R - SISTEMA VESTIR E CALCAR26OUT2010,2010-10-26,doc
4617f8ac10a4641b1675e1dbdf9d908f,1863,ata da reunião,15 Ata de reunião  06 10 08,2008-10-08,doc
4633d0896d938c65e40ffd1f7fb14a57,1241,ata da reunião,Ata de reunião 48 04 08 08,2008-08-11,doc
463d2f952e656091d61defc3c3b1f3a1,176,Relatório dos assuntos discutidos,Relatório 19.02,2008-03-17,doc
4647fe89c5a0ebee6a52968dc13157cb,12179,Reunião Realizada em 08/02/2012.,Reunião de Artesanato 08.02.12,2012-07-25,doc
464b9643ec25f1b7450c42c54e419378,10450,Lista de presença 1;,18 de Janeiro_1,2011-01-21,jpg
465217cbfc0fc303906b8e55e851f3be,2947,Reunião 21/08/2007,LISTA PRESENÇA  21 08,2009-01-07,doc
466ccdfce2b07f32fc1f90927ed989c1,8372,ATA - 24/03/2010,Ata de Reunião 140 -  24 03 10,2010-04-09,doc
466e883e1b99c0c102f8bb9950c23e37,7648,Palestra,Palestra_Estoque_Geraldo.JPG,2010-01-11,jpg
4677e18ffaecdb2f4528234ca852f60e,7891,Foto 1,Dr. Alberto - 1.JPG,2010-01-28,jpg
469a5ae872c796f91fbf945842692983,9890,Pauta;,Pauta_19 de outubro,2010-10-19,jpg
46ecd7714592c9d781840374e4fbf350,9310,Ata da Reunião,Ata de Reunião 09-2010,2010-08-02,doc
47143c449a7ebedaa143d3ec64fdeaf9,1660,Ata 6ª reunião.,Rel.Reunião Núcleo-Conf.6ª reunião,2008-09-22,doc
471ac071078b1cdec5095adc0b74039b,3107,REL S/ LANÇ CAD. INSP. E TENDÊNCIAS INVERNO 2009,LANÇ CAD INSP E TENDÊNCIAS  INVERNO 2009,2009-02-23,doc
471f43cec4a9bb9e71babcff888fff6e,10039,Lista de presença 2,04 de Novembro_2,2010-11-24,jpg
471fa02d6528c5f99ef8052dd7b1b3f3,5667,Relatorio palestra,reunião 07 20.08,2009-09-10,doc
4749588e16adb10461c833511406cd06,12552,Reunião Realizada em 22/10/2012.,Reunião Aventura - 22.10.12,2012-12-31,docx
4759db2315917e41efb2c2428e30778c,7771,Ata,ata 8,2010-01-19,doc
47a3172e3402509a48142c3dd4f5ead9,12142,Reunião Realizada em 02/07/2012.,Reunião Aventura - 02.07.2012,2012-07-04,doc
47ad0570cc57890e690af6eb61bd94de,7416,Foto 1 do NUCLEO DE ARTESANATO - S. Bento,PO20091220_0000,2009-12-21,jpg
47c87aa2f10abcb89d89ea5bc71105f7,10167,Lista de presença 1.,08 de Novembro_1,2010-11-23,jpg
47cdc20ecfa7f2f911bd24fedb28438b,5918,ATA 09/09/09,Ata de reunião 131 - 09 09 09,2009-09-22,doc
47df12214e18cb8114d6df3192bab0d5,3861,Levantamento das necessidades,Levantamento das necessidades,2009-05-14,xls
47e1ff2f01af47ebdba7b9c680cf56f6,5738,Foto geral da FOFA,FoFa,2009-09-23,jpg
47e92928622c46b653d7672942a69679,7824,11º Relatório A&R 08,11º Reunião N. Beleza- A&R,2010-01-23,doc
47f312ca9f16e6d14e4a1d217e904635,2846,ATA,ATA ART 51ª 10032007,2008-12-24,doc
47fe6753523636ab4080cc232e58d311,3860,ATA 88ª Reunião,ATA ART 88ª 11052009,2009-05-13,doc
4802b0579f365f6547cecd2ec4581a9b,12838,ATA,2013.01 ACIM Jovem Relatório de Reunião 08-01-2013,2013-05-17,docx
480709167a2bf262f83ab5690a5b0936,2972,Reunião 23/07/2007,Relatório 23 de Julho,2009-01-08,doc
4830423b884d1a4dd4ba5b82d8ea3e2c,7841,Lista Presença 1,pag1,2010-01-25,doc
4833ed3a333817d01e9ed8680e9745ee,10366,Lista de presença 2,002,2010-12-16,jpg
484e8729d630f88189072cc9efd6db5d,8262,Reunião 16/03/2010,5ata reuniao 16-03-10,2010-03-26,doc
485634f2c1d348e83dd14d6ada5c80e7,8638,ATA 12/05/2010,Ata de Reunião 143 - 12 05 10,2010-05-13,doc
485850938e81d3f5d9a234a2749489e9,3608,relatório da reunião,olarias 13.04.09,2009-04-23,doc
48673ff8d9596798eb1991032457bc13,12850,ATA,2013_03 ACIM IMPRENSA Relatório de Reunião 13-03-2013,2013-05-20,docx
4870868abbc61cf8dd09cb1ff35d5432,6743,Reunião de núcleo.,Pauta 25.08.09,2009-11-23,doc
487c360eaab5e8a835bf08f307980e7e,6377,Ata - 16/03/2009,ATA 009- 2009 - Diretoria CONJOVE,2009-10-24,doc
4886518125767b3dd99594ef6835a03a,10882,LISTA DE PRESENÇA 13/04/2011,CS 3,2011-05-03,jpg
488a9f0b3c8c02f041b43f86c3c106c5,7737,Lista Presença 2,lista 2,2010-01-18,doc
48bf3ddb557aa47497bf383e1bdb65d6,11380,Reunião Realizada dia 18.08.2011,Reunião Hospedagem -18.08.11,2011-08-24,doc
48c50e535acf93a3cc7bc51c9c4db6da,776,ata 28ª reunião núcleo,ata 28 reuniao nucleo confeccoes,2008-06-23,doc
48ecef638e8ab20401db8f52c09f24d8,12823,Participantes do Circuito,Participantes da Missão Técnica,2013-05-10,jpg
48ecef638e8ab20401db8f52c09f24d8,12825,Participantes da Missão Técnica,Participantes da Missão Técnica,2013-05-10,jpg
48ed05c1604d29da4c4cc970955df0ff,8587,ATA 28/04/2010,Ata de Reunião 142 - 28 04 10,2010-05-06,doc
48f0f1a633a134723b147145760889ea,7796,Lista Presença 1,PAG1,2010-01-20,doc
49491bbd8e412acc47c10475f91c62d1,9636,Foto dos empresários.,Edit 1,2010-09-09,jpg
494947ecc3e803ea5dc7fa97cd6d6254,7246,Relatorio,Beauty Fair 30 agosto,2009-12-14,doc
494999f11cd8a3b1d6c6191b5cc753a1,3305,RELATORIO DE REUNIÃO,2008_08_13 17,2009-03-23,doc
495065e605418f2e45da0249d945ffde,3265,mini manual de atendimento ao cliente,mini manual de atendimento ao cliente (ju),2009-03-19,doc
4964989c4999946a5406670ce28e79ed,5552,Visão de futuro,Relatorio95022,2009-09-02,doc
496bee22d2015ac033df69944059b1bc,7587,Listas,Lista Presença_05 nov,2010-01-04,jpg
499c99d31e83a2fed5dc863639a7dec3,9890,Lista de presença 1,19 de outubro_1,2010-10-19,jpg
49ab4a40087280ba23543d5e0b4f7f54,3636,2 parte planejamento,IMG_4080,2009-04-27,jpg
49ba287cb805d09019793435dbcf0ebe,10753,Ata da reunião de 30.03.11,Reunião Rural 30.03.11,2011-04-05,doc
49cd733918668ea5da2de54bc6d62f78,2967,Reunião 20/04/2007,Relatório 20 de abril,2009-01-08,doc
49e172c8022605c661dfcac460925702,3249,REGIMENTO INTERNO,regimento interno,2009-03-18,doc
4a44028f32d2474ebdd2bb14bc670651,10244,Ata Reunião 30.11.10,ReuniãoAPL-NSTI - 30_nov_2010.PDF,2010-12-01,pdf
4a7551116d44da93195bfe16a2296f04,176,Tabela para compras conjuntas,tabela de itens de consumo,2008-03-17,xls
4a892bbb364536f26c72b110e9b734c4,1175,relatório de reunião,"19, relatório de reunião",2008-08-04,doc
4ab75074e1e149bf22d6f973546312cf,9301,Ata da Reunião,Ata de Reunião 01-2010,2010-08-02,doc
4afda6968e342e689db38f3b50d622ec,2184,ATA 18ª REUÑIÃO,ATA ART 18ª 10122005,2008-10-24,doc
4b4e588bfa1c667ff7a3adf7ad29f313,2903,Relatorio de Reunião,Reunião 25.02.08,2008-12-30,doc
4b724c067193a830f30ffeb0150b06dd,12175,Reunião Realizada em 08/02/2012.,Reunião Rural 08.02.12,2012-07-25,doc
4ba27782eb149aa9d9b581971dd25cc8,7751,Ata,ATA 21,2010-01-19,doc
4bbd5b4393af7a23fb4debde49962e95,7729,Ata,ATA 7 - palestra ENTENDENDO CUSTOS E DESPESAS,2010-01-18,doc
4bc267499abdf7370a3fca7ba01d15b4,9110,Foto da Palestra,20 de maio - Substituição Tributária,2010-07-06,jpg
4bcd56e8e31d6299570ebbadf6205fb5,8077,Relatório - 31/12/2009,217 RT - 31-12-2009,2010-02-12,doc
4bf1d1196a1201746f8bf1f00a9e3872,7302,FOTO,DSC02929.JPG,2009-12-15,jpg
4c0b4466fa16ab5bf0d1b8017a41341d,10596,Lista de presença 1,22 de Fevereiro_1,2011-03-01,jpg
4c0dd8ae7c99b64fa467409788b681ac,2964,Reunião 13/05/2008,13 maio,2009-01-08,doc
4c3949f9c7ed81fe6921b59e57f8cf3d,8348,Lista de presença,300809 044,2010-04-06,jpg
4c422a80e5e6ff3834803751256d83bf,12149,Reunião Realizada em 25/01/2012,Reunião Rural 25.01.12,2012-07-11,doc
4c4a88b9e42d829ccdc0368b8d8a7374,6861,relatorio,Reunião Confecções 19 Outubro,2009-11-26,doc
4c79af06a9bc5837115d6c1c37411485,10777,Lista de presença 1.,31 de março_1,2011-04-12,jpg
