idprojeto,idnucleo,nmprojeto,dtini,dtfim,dsobjetivo,vlcacb,vltotal,idbanco,dsagencia,dsconta,flcompleto,nuctr,operacao,termoadt,dspublicoalvo,dsresultado,dtassinaturaadt,flstatus,idgestorprojeto,vlcontrafinan,vlcontraecono,vlsubtotal,dsprojeto,nuduracao,identidadeprop,dsresultado2,dsresultado3,idprojeto_projeto_base,tipo_projeto,sistematica_financeira,forma_liberacao,orcamento_obrigatorio,identidadeexec,nmfantasia,dtini_realizada,dtfim_realizada,iddocsanexar,iddocsencerramento,idmodelosimpressao,dtfim_nova,dtini_nova,conta_tipo,pix_tipo,pix_chave,termino_solicitado,pj_restrito,premissas,id_projeto_classe,moeda_adicional,metas_vinculadas,financiamento_compartilhado,conta_corrente_cacb
1120,22114,MAFRA EXPORT,2017-01-01,2017-01-01,x,115240.6500000000,186210.15,1  ,x,x,nao  ,,,,x,"1. Alcançar uma melhoria da situação econômica de 65% das empresas participantes, suportada no incremento de vendas, novos produtos e expansão em novo mercado",,cance,73766860968,39427.5000000000,31542.0000000000,70969.5000000000,x,,23,"2. Adequar e/ou desenvolver 50 produtos e/ou serviços com potencial para exportar ao mercado externo, MERCOSUL até o final do projeto",,189,APOIADO,2,CC,false,131,SC - MAFRA - Jovens empresários,2021-06-14,,,,,2017-01-01,2017-01-01,Corrente,,,,false,,,,false,,false
1121,23218,Inova Mulher do Núcleo das Mulheres Empresarias da Associação Empresarial de Pinhalzinho ,,,,51660.0000000000,94300.00,,,,nao  ,,,,,Aumento de faturamento nas empresas em 14% (doze por cento) até o fim do projeto,,nselc,,24600.0000000000,18040.0000000000,42640.0000000000,,,23,"""Até o final do projeto promover o aumento do número de clientes atendidos em média 5% (cinco por cento) por empresa participante;""",,189,APOIADO,,,,,DF - BRASILIA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1122,20396,Melhoria da Competitividade Empresarial através do conceito dos serviços 4.0 do SEBRAE.,,,,314524.0500000000,566732.12,,,,nao  ,,,,,Elevar a lucratividade das empresas do projeto em 15% até novembro de 2019,,nselc,,140360.3200000000,111847.7500000000,252208.0700000000,,,23,Aumentar o índice de inovação das empresas do projeto em 10% até novembro de 2019,,189,APOIADO,,,,,SC - RIO NEGRINHO - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1123,23128,Gestão baseada em competência  ,,,,236600.0000000000,388700.00,,,,nao  ,,,,,Aumento de 10% no faturamento das empresas até o final do projeto,,nselc,,135100.0000000000,17000.0000000000,152100.0000000000,,,23,"Redução de custos de produção e gestão, estimados em 12% até o final do projeto",,189,APOIADO,,,,,SC - SALTO VELOSO - Mulher empresária,,,,,,,,Corrente,,,,false,,,,false,,false
1124,23134,Fortalecimento do Destino Turístico “Rota das Termas,,,,63000.0000000000,115000.00,,,,nao  ,,,,,Reduzir a rotatividade de pessoal em 10%,,nselc,,26000.0000000000,26000.0000000000,52000.0000000000,,,23,Aumentar o fluxo de visitantes das empresas nucleadas em 15%,,189,APOIADO,,,,,SC - SAO CARLOS - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1125,14043,Estímulo para o desenvolvimento do Empreendedorismo Feminino para o Núcleo de Mulheres Empresárias de São Miguel,2018-05-01,2020-10-31,Desenvolvimento pessoal e profissional da Mulher Empresária por meio de atividades voltadas ao empreendedorismo e inteligência emocional.,44100.0000000000,80500.00,1  ,599-1,54531-7,nao  ,,,024/2019,"Micro e Pequenas Empresas, participantes do Núcleo das Mulheres Empresárias da Associação Empresarial de São Miguel do Oeste
*11 Empresas atendidas","Promover a melhoria de 2 processos nas empresas, sejam produtivos ou gerenciais",2018-05-01,concl,00467004986,25010.0000000000,11390.0000000000,36400.0000000000,"O núcleo da Mulher Empresária de São Miguel do Oeste iniciou suas atividades a mais de 20 anos, sempre buscando ideias inovadoras e que fomentam o desenvolvimento das empresas locais.  Ativas e comprometidas, estão sempre ligadas às atualidades e procuram acompanhar as mudanças do dia a dia levando as melhorias para suas empresas. 
Dessa forma no desenvolvimento do projeto pensou-se em atividades que contribuam para o desenvolvimento pessoal e profissional das participantes, agregando valor a suas empresas e promovendo ações que gerem negócios e contribuam para o desenvolvimento da região.",30,80,Implantar os processos em 80% das empresas participantes,,189,APOIADO,2,CC,false,80,SC - SAO MIGUEL DO OESTE - Mulher empresária,2018-05-01,2021-12-16,,1,,2020-10-31,2018-05-01,Corrente,,,2021-07-31 00:00:00,false,,,,false,,false
1126,23218,Desenvolver habilidades digitais e gerar resultados para os Jovens empreendedores ACIAX – Associação Comercial Industria,,,,54180.0000000000,98100.00,,,,nao  ,,,,,Obter 80% das empresas em 2019 que declararam ter verificado aumento da lucratividade,,nselc,,25000.0000000000,18920.0000000000,43920.0000000000,,,23,Elevar em 13% o faturamento total do grupo de empresas até o final de 2019,,189,APOIADO,,,,,DF - BRASILIA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1127,23088,Ampliação da competitividade dos arquitetos e engenheiros de Assis Chateaubriand/PR.,,,,72600.0000000000,133000.00,,,,nao  ,,,,,Obter 80% dos participantes do projeto utilizando ferramentas  gestão até dez/2019 ( linha 93 do quadro de indicador do sigeor),,nselc,,52900.0000000000,7500.0000000000,60400.0000000000,,,22,Elevar  em 15% faturamento total do grupo de empresar até o final do projetos dez/2019( linha 47 do quadro de indicador do sigeor,,189,APOIADO,,,,,PR - ASSIS CHATEAUBRIAND - Engenheiros e arquitetos,,,,,,,,Corrente,,,,false,,,,false,,false
1128,21865,Aprimoramento das empresas de Brasilândia do Sul /PR.,,,,54500.0000000000,99150.00,,,,nao  ,,,,,Elevar em 15% o faturamento total do grupo de empresas até o final de 2019( linha 46  do quadro de indicador do sigeor).,,nselc,,28650.0000000000,16000.0000000000,44650.0000000000,,,22,Aumentar  em 18% o números de clientes atendimento pelas empresas nucleadas até dez/2019,,189,APOIADO,,,,,PR - ASSIS CHATEAUBRIAND - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1129,22257,Empoderamento da Mulher Empresária de Assis Chateaubriand.,2018-05-01,2020-10-01,"Buscar conhecimento através da troca de experiência com capacitação profissional, levando assim a expansão das empresas e despertando o comprometimento com a classe empresarial, fomentando o empoderamento da Mulher Empresária perante o mercado.",49400.0000000000,89900.00,1  ,1622-5,19011-X,nao  ,,,,EMPRESÁRIAS PARTICIPANTES DO NÚCLEO.,"""Obter 80% das empresas com processos gestão ( RH, finanças) novos ou aperfeiçoados até dez/2019. (Linha 137 Do quadro  de  indicadores sigeor).
""",,concl,49483641934,23900.0000000000,16600.0000000000,40500.0000000000,"Atualmente o Núcleo da Mulher Empresária de Assis Chateaubriand, conta com 26 nucleadas, foi criado em 28/02/2013, sendo um núcleo multissetorial, onde atuam diversos segmentos, e utilizam desta diversidade para enobrecer seus projetos realizados ao longo de todo ano, como tradição realizam duas feiras Ponta de Estoque anuais, aos quais proporcionam maior união entre a classe empresarial do município. O Núcleo tem como objetivo incentivar e oportunizar a geração de negócios através do associativismo, promovendo o desenvolvimento das mulheres empresárias, assim possibilitando o intercâmbio de empreendedorismo entre elas e gerando mais conhecimento através da troca de experiência com capacitação profissional, levando a expansão das novas empresas, despertando assim o comprometimento de todas envolvidas. O edital do empreender competitivo traz como uma grande oportunidade de desenvolver a mulher empresaria para a busca do empoderamento e o desenvolvimento dos seus negócios através do
desenvolvimento de lideranças, capacitações e trocas de informações.",29,22,Aumentar em 20% o desempenho no diagnóstico do MEG no critério 01 liderança até dez/2019 (linha  75 do quadro de indicadores do sigeor),,189,APOIADO,2,CC,false,100,PR - ASSIS CHATEAUBRIAND - Confecções - comércio,2018-05-01,2021-12-12,,1,,2020-10-01,2018-05-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1130,21615,Projeto Muda - Viveiro Escola Multiinstitucional,,,,65200.0000000000,118750.00,,,,nao  ,,,,,"""Ampliar a estruturação do viveiro escola, principal ferramenta de ação do Projeto Muda, em 100%;""",,nselc,,27000.0000000000,26550.0000000000,53550.0000000000,,,22,"Sensibilizar e capacitar 100 estudantes, jovens e adolescentes que frequentam a Guarda Mirim de Dois Vizinhos, em ações voltadas ao processo de produção de mudas em viveiros, em todas as suas etapas e inter-relações",,189,APOIADO,,,,,PR - DOIS VIZINHOS - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1131,21693,Núcleo Multisetorial do comércio de Entre Rios do Oeste/PR.,,,,41200.0000000000,75000.00,,,,nao  ,,,,,Obter 80% dos participantes do projeto utilizando ferramentas básicas de gestão até dez/2019 ( linha 93 do quadro de indicador do sigeor),,nselc,,18700.0000000000,15100.0000000000,33800.0000000000,,,22,Elevar  em 15% faturamento total do grupo de empresar até o final do projetos dez/2019( linha 47 do quadro de indicador do sigeor),,189,APOIADO,,,,,PR - ENTRE RIOS DO OESTE - Comércio varejista,,,,,,,,Corrente,,,,false,,,,false,,false
1132,22179,"EC/PR N.S. Gastronomia, hotelaria e Turismo.",,,,178167.5000000000,324910.00,,,,nao  ,,,,,"Promover a melhoria de 2 processos nas empresas, sejam produtivos ou gerenciais",,nselc,,129492.5000000000,17250.0000000000,146742.5000000000,,,22,Implantar os processos em 100% das empresas participantes,,189,APOIADO,,,,,PR - FRANCISCO BELTRAO - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1133,20878,Mulheres Empresárias com Excelência em Gestão,2018-05-01,2020-10-01,Aumentar a competitividade das empresas participantes do Núcleo Multissetorial da Mulher Empresária de Guarapuava através de ações que impactem em melhorias na gestão.,46919.1000000000,85311.60,1  ,1622-5,19011-x,nao  ,,,067/2018,"23 Empresas participantes do Núcleo Multissetorial da Mulher Empresária de Guarapuava
* 23 (vinte e três) empresas","Obter 80% das empresas nucleadas participantes do projeto, com implementação de  2 novos processos  gerenciais até abril de 2020",2018-05-01,concl,02179005938,25507.5000000000,12885.0000000000,38392.5000000000,"O núcleo multissetorial da mulher empresária de Guarapuava foi criado na ACIG, Associação Comercial e Empresarial de Guarapuava no ano de 2002. É composto por 39 empresárias, tendo o público feminino diretamente envolvido na gestão das empresas. A média de postos de trabalho oferecidos gira em torno de 7 colaboradores por empresa, gerando mais de 270 empregos diretos. É importante ressaltar que o Núcleo da Mulher Empresária de Guarapuava esta vivendo um momento de consolidação de seus objetivos, para com toda a certeza auxiliar no desenvolvimento de todo o município e inclusive da região, uma vez que é um núcleo multissetorial feminino mais atuante da regional da Cacicopar – Coordenadoria das Associações Comerciais e Empresariais do Centro Oeste do Paraná, tendo portanto consciência que seu desenvolvimento e fortalecimento, será automaticamente inspiração para os demais núcleos da mulher. A força da mulher empresária pode e vem ajudando a transformar realidades regionais. A ênfase principal para o projeto será a profissionalização e nível da excelência na gestão, que irá impactar também no faturamento destas empresas, ampliando assim sua capacidade de oferecimento de postos de trabalho e consequente contribuição para o desenvolvimento  econômico do município.",29,22,Aumentar em 10% o faturamento das empresas nucleadas até abril de 2020,,189,APOIADO,2,CC,false,101,PR - GUARAPUAVA - Mulher empresária,2018-05-01,2021-12-16,,1,,2020-10-01,2018-05-01,Corrente,,,,false,,,,false,,false
1134,22369,EC/NS Assessores e Organizadores de Eventos de Londrina.,,,,7816.4000000000,14406.80,,,,nao  ,,,,,Ter processos gerenciais implementados em 100% das empresas participantes do projeto até agosto 2019,,nselc,,4795.2000000000,1795.2000000000,6590.4000000000,,,22,"Realizar campanhas de informação e conscientização sobre a importância dos assessores e organizadores de eventos, atingindo 170 mil pessoas de Londrina e região até agosto 2018",,189,APOIADO,,,,,PR - LONDRINA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1135,22368,Consultores Associados,,,,30155.6300000000,54852.70,,,,nao  ,,,,,Criar 1 dispositivo de prospecção de clientes até 20 de dezembro de 2018,,nselc,,18713.8600000000,5983.2100000000,24697.0700000000,,,22,Aumentar a carteira de cliente em 5% até 30 de julho de 2019,,189,APOIADO,,,,,PR - LONDRINA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1136,22961,EC/ NS Negócios de Arquitetura,2018-05-01,2020-10-01,"Oportunizar aos integrantes do núcleo a possibilidade de ampliação de mercado, aumento da competitividade e melhoria de processos.",71751.0000000000,130906.80,1  ,1622-5,19011-x,nao  ,,,065/2018,"Empresários participantes do Núcleo Setorial de Negócios de Arquitetura-IARQ, vinculados a Associação Comercial e Industrial de Londrina, Norte do Paraná.
* Para a realização do projeto serão atendidas 8 empresas","Assegurar que 75% das empresas identifiquem novas tecnologias ou tendências no mercado nacional e internacional, sendo estas aplicáveis a seus processos produtivos (bens e serviços). (Linha 157 GEOR)",2018-05-01,concl,49483641934,54477.3000000000,4678.5000000000,59155.8000000000,"O Núcleo de Negócios em Arquitetura, núcleo prioritário integrante da cadeia da construção civil, constituído em 19 de março de 2013 e atualmente com 8 integrantes, atua constantemente para o aprimoramento, atualização e capacitação dos integrantes para que estes sejam competitivos num mercado dinâmico onde constantemente surgem novos conceitos e tecnologias, sendo ainda um dos setores mais prejudicado com a crise econômica. O projeto vem de encontro com o objetivo do núcleo em aprimorar seus processos, ampliar mercado, buscar inovação, tecnologia e tendências afim de aumentar sua competitividade.",29,22,Aumentar a carteira de clientes em 10% até abril de 2020,,189,APOIADO,2,CC,false,102,PR - LONDRINA - Engenheiros e arquitetos,2018-05-01,2021-12-16,,1,,2020-10-01,2018-05-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1137,21733,EC Competitivo/NS Gastronomia - Cadeia Produtiva de Alimentos e bebidas.,2018-03-01,2020-10-01,"Promover melhoria na gestão das empresas atendidas, agregando valor ao atendimento de seus clientes, através de melhoria de processos  no setor.",136800.0000000000,249126.00,1  ,1622-5,19011-x,nao  ,,,031/2018,"15 Empresas participantes do Núcleo de Gastronomia da ACIMACAR
*Serão atendidas 15 empresas no Projeto.",Aumentar o fluxo de clientes em 12% até dezembro de 2019  (  linha 277 do quadro de indicadores do sigeor),2018-03-01,concl,49483641934,87200.0000000000,25126.0000000000,112326.0000000000,"O núcleo de Gastronomia criado em 27/06/2010 com o intuito de unir e fortalecer a classe empresarial gastronômica integrados ao Lago da Itaipu, buscam promover melhorias que se destacam: Realizações de capacitações conjuntas, contratação de divulgação coletiva e participações em Feiras para busca de inovação, negociações em conjuntas, tendências do mercado atual.
 Neste contexto o Núcleos de Gastronomia busca o desenvolvimento de suas competências e desenvolvimento pessoal através da implementação de processos   de gestão para que a empresa possa se destacar e diferenciar no mercado tornando as mais competitivas.",31,22,Obter 100% das empresas com processos novos ou aperfeiçoados até dez/2019. (Linha 137 Do quadro de indicadores sigeor).,,189,APOIADO,2,CC,false,67,PR - MARECHAL CANDIDO RONDON - Bares restaurantes e lanchonetes,2018-03-01,2021-12-16,,1,,2020-10-01,2018-03-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1138,22457,Imobiliárias - Cadeia Produtiva de Construção Civil.,2018-03-01,2020-10-01,"“Buscar a inovação otimizando os processos, aumentando a credibilidade e   melhorando a atividade, colhendo mais resultados para aumento do faturamento”.",119942.0000000000,218075.00,1  ,1622-5,19011-x,nao  ,,,052/2018,"11 Empresas participantes do Núcleo de Imobiliárias - ACIMACAR  
* Para a realização do projeto serão atendidas 11 empresas",Elevar em 8% o faturamento total do grupo de empresas até o final de 2019 ( linha 47 do quadro indicador do sigeor).,2018-03-01,concl,49483641934,62500.0000000000,35633.0000000000,98133.0000000000,"O Núcleo de Imobiliárias foi criado em 23 de abril de 2015, com o intuito de unir e fortalecer a classe imobiliária, está localizado na Cidade de Marechal Cândido Rondon no Oeste do Paraná, ativo há 2 anos já vem colhendo resultados satisfatórios através dos trabalhos em conjunto do Programa Empreender.

  O núcleo regularmente realiza trabalhos em parcerias, gerando vários negócios em conjunto, aquecendo o mercado da cidade e região, além disso, ação essa que apresenta grande credibilidade na cidade e confiança do cliente ao confiar a venda ou locação do seu mobiliário. Porem os empresários sentem a necessidade de melhorar a gestão das empresas e aumentar a oportunidade de negócios, buscam um trabalho coletivo com este projeto,  para melhoria da gestão de suas empresas.",31,22,"Obter 11 empresas com produtos, serviços ou processos novos ou que foram aperfeiçoados até dez/2019. (Linha 138 Do quadro  dos indicadores sigeor).",,189,APOIADO,2,CC,false,67,PR - MARECHAL CANDIDO RONDON - Imobiliárias,2018-03-01,2021-12-16,,1,,2020-10-01,2018-03-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1139,20508,EC/PR NS Informática Rondon - IT - Cadeia Produtiva Economia Digital,2018-03-01,2020-03-30,"Aumentar a competitividade das empresas de tecnologia da informação participantes do Núcleo Setorial de Informática Rondon – IT – ACIMACAR, através do aprimoramento de competências, gerenciais e do relacionamento, buscando inovações e formando alianças que proporcionem a descoberta de novas oportunidades de negócio e prospecção de novos mercados.",113030.0000000000,205690.00,1  ,1622-5,19011-x,nao  ,,,053/2018,"Empresários participantes do núcleo de Informática da ACIMACAR
* 15 EMPRESAS PARTICIPANTES DO NÚCLEO DE INFORMATICA – RONDON-IT",""" Elevar em 7% o faturamento total do grupo de empresas até o final de 2019. ( linha 47 do quadro de indicador do sigeor) """,2018-03-01,desco,49483641934,74460.0000000000,18200.0000000000,92660.0000000000,"O Núcleo de Informática Rondon – IT da Associação Comercial e Empresarial de Marechal Cândido Rondon, ativo a 24 anos, conta com a participação de 13 empresas, que também fazem parte do APL Iguassu – It, vem realizando várias ações voltadas a capacitações, consultorias, e melhoramento dos produtos ofertados aos clientes, e auxiliando na formação do Parque Tecnológico da  APL, realizam reuniões mensalmente para ampliação do conhecimento e troca de informações e experiências entre as empresas, tendo evoluído para a criação de um novo empreendimento em grupo. Porem devido cenário político e a incerteza economia, estes empresários sentem uma grande preocupação em relação as empresas neste mercado competitivo.
 Nesse contexto, os núcleos de informática buscam o desenvolvimento de suas competências, desenvolvimento pessoal, baseado em aplicação de modelos de Negócios, implementação de processo de gestão, para que as empresas possam se diferenciar e se destacar e manter-se no mercado competitivo.",25,22,"Obter 100% das empresas com produtos, serviços ou processos novos ou que foram aperfeiçoados até dez/ de 2019 (linha 138 do quadro de indicador do sigeor)",,189,APOIADO,2,CC,false,67,PR - MARECHAL CANDIDO RONDON - Informática - serviços,2018-03-01,,,,,2020-03-30,2018-03-01,Corrente,,,,false,,,,false,,false
1140,22130,EC Núcleo Jovem Empresários.,,,,140800.0000000000,258300.00,,,,nao  ,,,,,Implantar/padronizar 04 (quatro) processos de gestão dentro das empresas participantes do projeto dez/2019,,nselc,,94000.0000000000,23500.0000000000,117500.0000000000,,,22,"""Obter 50% do público atendido com algum ganho no índice de competitividade, até o final do projeto.
Auxiliado por diagnóstico Meg , item de Estratégias e planos, mensurar as Empresas com algum ganha de competitividade. 
""",,189,APOIADO,,,,,PR - MARECHAL CANDIDO RONDON - Jovens empresários,,,,,,,,Corrente,,,,false,,,,false,,false
1141,21234,EC/ Núcleo de Mecânicas e Auto Elétricas - Cadeia Automotiva,2017-01-01,2017-01-01,x,83700.0000000000,152210.00,,,,nao  ,,,,x,"""Obter 80% dos participantes do projeto utilizando ferramentas básicas de gestão até dez/2019 ( linha 93 do quadro de indicador do sigeor)",,cance,73766860968,55810.0000000000,12700.0000000000,68510.0000000000,x,,22,Elevar  em 15% faturamento total do grupo de empresar até o final do projetos dez/2019( linha 47 do quadro de indicador do sigeor),,189,APOIADO,2,CC,false,67,PR - MARECHAL CANDIDO RONDON - Automecânicas,2021-06-14,,,,,2017-01-01,2017-01-01,Corrente,,,,false,,,,false,,false
1142,21997,EC/NS - Núcleo de Moveleiros da ACIMACAR - com foco na Cadeia Produtiva da Construção Civil.,2018-03-01,2020-03-30,Promover o aumento da competitividade através da melhoria de gestão e inovação com designer das peças produzidas buscando a ampliação de mercado.,117775.0000000000,214545.00,1  ,1622-5,19011-x,nao  ,,,051/2018,"11 Empresas participantes do Núcleo de Moveleiros - ACIMACAR
* Para a realização do projeto serão atendidas 11 empresas","Aumento da taxa de conversão em 10% até dez/2019. (Linha 290 da tabela de indicadores usado pelo Sigeor) (É o percentual de clientes que realizam uma compra, em comparação com o número de clientes que entram no estabelecimento)",2018-03-01,desco,49483641934,61770.0000000000,35000.0000000000,96770.0000000000,"Fundado 10 de Maio de 2012, visando unir e fortalecer a cultura associativista e de iniciativa, empresários buscam inovar e criar uma nova linha de produtos para fomentar a ampliação de mercado. O grupo é formado por 11 empresas no segmento moveleiro, onde já realizaram ações como: visitas técnicas a empreendimentos renomados, feiras e indústrias, visando a ampliação de conhecimento e inovações sobre tendências do setor, que nos últimos anos foram impactados pela situação econômica do país, propõem ações para fomentar e ampliar, manter e busca de novos mercados.
 A ênfase do projeto será a busca de Gestão, inovação, manutenção e ampliação do mercado possibilitando empresas mais bem preparadas e competitivas para o mercado atual.",25,22,""" Obter 11 empresas com produtos, serviços ou processos novos ou que foram aperfeiçoados até dez/2019. (Linha 138 Do quadro  dos indicadores sigeor). """,,189,APOIADO,2,CC,false,67,PR - MARECHAL CANDIDO RONDON - Móveis - indústria,2018-03-01,,,,,2020-03-30,2018-03-01,Corrente,,,,false,,,,false,,false
1143,21738,Mulheres Competitivas e Empreendedoras,,,,126650.0000000000,227050.00,,,,nao  ,,,,,Obter 100% das empresas com processos financeiros  novos ou aperfeiçoados até dez/2019. (Linha 137 Do quadro  de  indicadores sigeor).,,nselc,,82200.0000000000,18200.0000000000,100400.0000000000,,,22,Aumentar em 20% o desempenho no diagnóstico do MEG no critério 08 resultado até dez/2019 (linha 75 do quadro de indicadores do sigeor),,189,APOIADO,,,,,PR - MARECHAL CANDIDO RONDON - Mulher empresária,,,,,,,,Corrente,,,,false,,,,false,,false
1144,22115,EC/NP Contabilidade,,,,174650.0000000000,317800.00,,,,nao  ,,,,,"Obter 65% de empresas participantes com produtos, serviços ou processos novos ou aperfeiçoados até dez/2019 (linha 137 do quadro de indicador do sigeor)",,nselc,,119650.0000000000,23500.0000000000,143150.0000000000,,,22,Ter 15% das empresas a certificação até dez/2019 (linha 30 do quadro de indicadores do sigeor),,189,APOIADO,,,,,PR - MARECHAL CANDIDO RONDON - Escritórios de contabilidade e contadores,,,,,,,,Corrente,,,,false,,,,false,,false
1145,22343,Rua Santa Catarina,,,,69250.0000000000,125750.00,,,,nao  ,,,,,Obter 80% das empresas em 2019 que declararam ter verificado aumento da lucratividade. ( Linha 164 do quadro indicador do sigeor),,nselc,,44500.0000000000,12000.0000000000,56500.0000000000,,,22,Aumentar o número de canais de comercialização que passaram a ser utilizados até dez/2019 (linha 288 do quadro de indicadores do sigeor),,189,APOIADO,,,,,PR - MARECHAL CANDIDO RONDON - Comércio varejista,,,,,,,,Corrente,,,,false,,,,false,,false
1146,22740,Programa de desenvolvimento de consultores empresariais,,,,66412.5000000000,120750.00,,,,nao  ,,,,,Aumentar a carteira de clientes ativos em 20% até dezembro de 10/2019,,nselc,,54337.5000000000,0.0000000000,54337.5000000000,,,22,Aumentar a taxa de conversão de vendas em 10% até 10/2019,,189,APOIADO,,,,,PR - MARINGA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1147,22305,Escola de Líderes,,,,86020.0000000000,156400.00,,,,nao  ,,,,,Aumentar em 10% o índice de competitividade de 80% dos participantes do núcleo até 12/2019,,nselc,,70380.0000000000,0.0000000000,70380.0000000000,,,22,Aumentar em 10% o índice de inovação de 80% das empresas participantes do núcleo até 12/2019,,189,APOIADO,,,,,PR - MARINGA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
1148,22277,Campanha de conscientização Gás 100% Legal,,,,112585.0000000000,204700.00,,,,nao  ,,,,,Aumentar a carteira de clientes ativos em 10% até dezembro de 2019,,nselc,,92115.0000000000,0.0000000000,92115.0000000000,,,22,Aumentar a taxa de conversão em 15% até dezembro de 2019,,189,APOIADO,,,,,PR - MARINGA - Distribuição de gás,,,,,,,,Corrente,,,,false,,,,false,,false
1149,22609,Psicologia,2017-01-01,2017-01-01,x,12232.4000000000,22310.00,,,,nao  ,,,,x,"Aumentar em 10% o desempenho do núcleo com base no diagnóstico do MEG nos critérios, estratégias e planos, clientes e processos, até 30 de agosto de 2018",,cance,73766860968,5038.8000000000,5038.8000000000,10077.6000000000,x,,22,Aumentar a carteira de clientes ativos em 10% até 30 de agosto de 2018,,189,APOIADO,2,CC,false,68,PR - MARINGA - Psicológos,2021-06-14,,,,,2017-01-01,2017-01-01,Corrente,,,,false,,,,false,,false
1150,20205,Projeto de Capacitação para Oficinas de reparação automotiva,2018-05-01,2020-10-01,"Preparar os empresários a nível gerencial para uma melhor gestão de seus negócios, possibilitando melhoria no mercado. Fortalecer a marca do grupo, preparando-os já para o bate-pronto em conjunto.",28896.3700000000,52957.50,1  ,1622-5,19011-X,nao  ,,,,São 09 empresas participantes do Núcleo de Funilaria e Pintura – GRA – Grupo de Reparação Automotiva de Maringá vinculadas a Associação Comercial da Cidade de Maringá-PR,Aumentar o faturamento mensal em 10% até o término do projeto.,,concl,49483641934,24061.1300000000,0.0000000000,24061.1300000000,"O núcleo de funilaria e pintura reiniciou seus trabalhos em novembro de 2016, conta hoje com 10 empresas, porém o grupo já existiu anteriormente na Associação Comercial,conforme registros no portal do Empreender. Inicialmente foi fundado em 2006 e durante 5 anos trabalhou arduamente reivindicando melhores valores na prestação de serviços para as Seguradoras, problema que ainda hoje enfrentam e por este motivo, voltaram a se unir. Durante este ano que voltaram a trabalhar, conseguiram participação na Câmara de Colisão (onde participam 1 representante de cada estado e as seguradoras, numa reunião bimensal,
onde se discute o setor), retomaram o CNPJ do grupo para iniciar compras coletivas, através do Sebraetec estão desenvolvendo projeto para bate-pronto coletivo. O setor ainda pertence ao Sindicado de mecânicas – Sindirepa, fato este que impossibilita termos dados relevantes somente de funilarias.",29,22,Elevar o valor do ticket médio de vendas das empresas em 10% até 02/01/2020.,,189,APOIADO,2,CC,false,68,PR - MARINGA - Automecânicas,2018-05-01,2021-12-16,,1,,2020-10-01,2018-05-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1151,22752,Congresso de Moda - TECNOMODA,2018-03-01,2020-10-01,"Proporcionar as indústrias do vestuário um diferencial competitivo, preparando-as para um maior volume de negócios através de ações de voltadas para a inovação e tecnologia.",113536.5000000000,206430.00,1  ,1622-5,19011-X,nao  ,,,032/2018,"São empresas participantes Núcleo setoriais de Sucessores – SINDVEST JOVEM vinculadas a Associação Comercial de Maringá – PR.
*O Projeto atenderá 10 empresas que possuem inscrição no CNPJ.",Ter 50% das empresas participantes do projeto que adotaram alguma forma de modernização no seu processo industrial de produção até dezembro de 2019.,2018-03-01,concl,49483641934,92893.5000000000,0.0000000000,92893.5000000000,"O núcleo setorial de Sucessores – SINDVEST JOVEM iniciou suas atividades em 20/07/2016, o núcleo é formado por jovens empreendedores ou sucessores de empresas tradicionais do setor do vestuário. O setor do vestuário em Maringá tem uma história de mais de 30 anos e as empresas estabelecidas passam pela crítica etapa da primeira sucessão, se uniram em busca de formação de novas lideranças e fortalecimento das empresas. Segundo o sindicato existem 1251 empresas em sua base territorial que é formada por 72 municípios. Na cidade são 569 empresas do seguimento sendo 90% delas de micro e pequenas empresas que faturam em torno de R$ 250.000,00 mensais gerando em torno de 15 mil empregos locais.",31,22,Ter 70% das empresas do projeto com novo processo de gestão até dezembro de 2019,,189,APOIADO,2,CC,false,68,PR - MARINGA - Confecções - indústria,2018-03-01,2021-12-17,,1,,2020-10-01,2018-03-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
1152,22299,Projeto de inovação em gestão da qualidade para as empresas de transformação de plásticos.,,,,125840.0000000000,228800.00,,,,nao  ,,,,,Ter o volume de desperdício reduzido em 60% até 01/07/2019,,nselc,,102960.0000000000,0.0000000000,102960.0000000000,,,22,Aumentar a produtividade em 15% até dia 10/12/2019,,189,APOIADO,,,,,PR - MARINGA - Outros,,,,,,,,Corrente,,,,false,,,,false,,false
