idnucleo,nuano,nuplacao,dtcriacao,nmplacao,txresultado,txindicador,txdescricao,dtpinicio,dtpfim,nmresponsavel,nmcolaboradores,nmparceiros,txrecursos,nmfiscal,dtultimaalteracao,stplacao,faceb
20597,2008,3,2008-09-29,Palestra de apresentação da rede,Trazer novos associados e aumentar a credibilidade da rede junto aos fornecedores,- Número de associados  - Propostas comerciais dos fornecedores,Palestra de apresentação dos resultados da rede,2008-09-29,2008-10-30,Fabiano,"Jean, Márcio e Marcos",ACIM,"Auditório, audivisual, material de publicidade, apresentador",Fabiano,,termi,false
20644,2011,1,2011-02-21,Oficina Técnica,Formar jovens iniciantes no ramo da beleza para serem auxiliares nos salões de beleza,,O núcleo disponibilizará voluntários para treinar jovens que queiram trabalhar no ramo da beleza como primeiro emprego e como forma de aprender uma profissão,2011-04-04,2012-03-05,José Mário Ferré,Todo o núcleo da Beleza,"Acito, Sebrae, Empresários do ramo da beleza","Material didático, material para aulas práticas, professores técnicos para aulas específicas,",Núcleo da Beleza e a Coord do empreender,,termi,false
20644,2011,2,2011-05-06,Hair Brasil,Visita à Feira da Beleza de São Paulo com participação de 05 empresários que participaram de Work Shops e Ccongressos na sua área.,Qualidade (A feira desse ano foi surpreendente Zsegundo os empresáriosZ)  ZProdutividade ( Apenas 4 participantes fizeram todas as atividades definidas)  ZCusto (Este ano foi mais baixo e motivou a equipe)  ZInovação (Os profissionais trouxeram novas técnicas para aplicar)  ZMarketing (diferencial competitivo para os profissionais que participam da feira),Missão Técnica,2011-02-03,2011-04-07,Cyro Gurgel,"Mário Ferré, Patricia Moraes, Leila Beatriz, Darlene,",Sebrae,"Transporte de ônibus (ida/volta) Araguaína-São Paulo-Araguaína, hospedagem com café da manhã no hotel formula 1 jardins - av. 9 de julho, entre a brasil e paulista Z São Paulo-SP  TRANSPORTE: 7 TURISMO  DATA DE SAÍDA ARAGUAÍNA:  30/03 às 22 horas e 30 minutos  CHEGADA SÃO PAULO (PREVISÃO): 01/04  às 10 horas  DATA DE SAÍDA SÃO PAULO (PREVISÃO): 05/04 às 16 horas  DATA DE CHEGADA ARAGUAÍNA (PREVISÃO): 07/04 às 09 horas","Faciet, Acito, Sebrae",,termi,false
20644,2011,3,2011-06-21,PROMOÇÃO DE EVENTOS,GERAR FUNDOS FINANCEIROS PARA O NÚCLEO COM EVENTOS LOCAIS COM A PARTICIPAÇÃO DOS EMPRESÁRIOS E PARCERIAS.,PUBLICIDADE  MARKETING  QUALIDADE,EVENTO PARA PROMOÇÃO DO NÚCLEO SETORIAL E DIVULGAÇÃO DO TRABALHO DO EMPREENDER,2011-04-28,2011-06-30,MÁRIO FERRÉ,"KELLY REGINA, FÁTIMA, CLEIDE, PATRICIA, NEIDE, FLORISA,","ACITO, SEBRAE, JUBIART, GRAFICA BRASIL",ALUGUEL DO LOCAL DO EVENTO  PROPAGANDA COM PANFLETOS  IMPRESSÃO NA GRÁFICA  FOTOGRAFIA  DECORAÇÃO  DIAGRAMAÇÃO,"CONSULTORA, FACIET, NÚCLEO, SEBRAE",,termi,false
20644,2011,4,2011-06-21,JORNAL DA BELEZA,"DIVULGAÇÃO DO TRABALHO DO NÚCLEO, ESPECIALMENTE DA AÇÃO DO EMPREENDER EM TOCANTINÓPOLIS, NA ORGANIZAÇÃO E DESENVOLVIMENTO LOCAL DOS EMPRESÁRIOS DO RAMO DA BELEZA. DIVULGAÇÃO DE EMPRESAS FORNECEDORAS DO SEGUIMENTO E SIMPATIZANTES COM O PROJETO DO NÚCLEO SETORIAL.",MARKETING  PUBLICIDADE  QUALIDADE  DIFERENCIAL COMPETITIVO PARA A CATEGORIA E PARA OS PROFISSIONAIS ENVOLVIDOS,O JORNAL DA BELEZA TEM O OBJETIVO DE DIVULGAR AS AÇÕES DO NÚCLEO E INFORMAR SOBRE OS MAIS DIVERSOS,2011-05-10,2011-12-30,NÚCLEO DA BELEZA,TODOS OS EMPRESÁRIOS ENVOLVIDOS NO PROJETO,"GRÁFICA BRASIL, ACITO, SEBRAE, JUBIART",IMPRESSÃO DO MATERIAL NA GRÁFICA  DIVULGAÇÃO DE EMPRESAS PARA CUSTEAR,"CONSULTORA, FACIET,",,termi,false
20645,2008,1,2008-07-09,Reunião com o Prefeito,Melhora imediata das condições de infra estrutura do Parque Industrial,,empresários reivindicam melhorias necessárias no local,2008-06-16,2008-06-19,Junior Bezerra,Valdir X. Fonseca,"ACIC, Prefeitura","Local para reunião, coffee break, máquina fotográfica","Ailton, Claúdio e Ademir",,termi,false
20645,2008,2,2008-07-09,Confeccionar camisetas para o núcleo,Todos os membros do núcleo identificados quando participarem de eventos na cidade ou outros lugares,,necessidade de criar a identidade do núcleo,2008-06-30,2008-07-29,Ailton Menezes,"Paulo Silva, Claúdio Padula","ACIC, Prefeitura","camisetas (50% doadas), pagar impressão",Ademir Reis,,termi,false
20645,2008,3,2008-07-09,Produzir e distribuir panfletos do SEMC,Membros do SEMC(Nucleo Setorial Moveleiro de Colorado) vão imprimir panfleto com produtos e logos das empresas para distribuição em feira na cidade,,Promover e divulgar o recém-criado SEMC,2008-07-07,2008-07-12,Junior Bezerra,"Claudio, Valdecir, Ademir, Ailton, Ademir, José, Claudinei, Marcelo, Paulo","ACIC, PMC","modelo de panfleto, gráfica para imprimir e recursos para custear a impressao",todos,,termi,false
20645,2008,4,2008-07-16,Conhecer Formobile,"Visitar e conhecer uma grande feira do setor moveleiro, promovendo um intercâmbio entre nossos empresários e moveleiros de outros lugares do país.",,Agregar experiência e conhecimento,2008-07-14,2008-08-01,Junior/Ailton,"Ademir, Claudio, Valdecir",Prefeitura de Colorado,"Telefone, veiculo, fax e computador",todos,,termi,false
20645,2008,5,2008-09-08,Visitar a Feira do Empreendedor - Londrina 2008,"Prospectar oportunidades de negócios, buscar conhecimento / experiências",,organizar os interessados e levá-los para feira,2008-08-11,2008-08-15,Ailton,Cláudio / Claudinei,ACIC / SEBRAE,"telefone, computador, ônibus",Junior,,termi,false
20645,2008,6,2008-10-22,VISITA TÉCNICA À EMPRESAS EM CURITIBA,Ampliar número de fornecedores para compras futuras,Conhecer novas técnicas e tecnologias para melhorar o produto final,"coordenar a ação em conjunto com NUSEM de Maringá, e levar o maior número de empresários",2008-09-10,2008-09-19,Junior Bezerra,Ailton Menezes e Cláudio Padula,"ACIC, SEBRAE, NUSEM, Empresas","Ônibus, telefone, computador, alimentação.",todos do núcleo,,termi,false
20645,2008,7,2008-10-22,CAPACITAÇÃO FINANCEIRA,Ter um controle eficaz e satisfatório sobre a gestão financeira da empresa,Participar ativamente dos 2 Cursos de Capacitação Financeira,Curso de Controles Financeiros Essenciais e Custos e Formação de Preços,2008-09-01,2008-10-08,"Ademir, Claudinei e Junior","Ailton, Paulo","ACIC, SEBRE","Local para o treinamento, telefone, mesas, cadeiras, data-show, hora/técnica, etc.",Junior,,termi,false
20645,2009,1,2008-12-24,Reinicio dos trabalhos,Retorno as reuniões do SEMC,Expectativa de contar com as 9 empresas atuais e ampliar este número,Reunir os empresários e definir os planos para 2009,2009-01-28,2009-02-02,Junior Bezerra / Ailton Menezes,"Claudio Padula, Valdecir Mauricio","Acic, Faciap e Prefeitura","Telefone, convites, sala para reunião",Ailton,,termi,false
20645,2009,2,2009-03-11,Visita Técnica a Movelpar,estreitar relacionamentos,aumento na carteira de clientes/fornecedores,Visita a Movelpar,2009-02-09,2009-03-12,Junior Bezerra,"Claudio, Ailton","Movelpar, Sebrae, Acic","Telefone, computador, van para transporte, alimentação",todos,,termi,false
20645,2009,3,2009-07-02,Consultoria e Capacitação Técnica com Daniel Sins,"Obter um aumento considerável na produtividade das empresas, e, por consequência aumentar o faturamento.",estreitar ainda mais a participação e o comprometimento dos membros do semc,"participação ativa dos membros, inclusive sediando reuniões",2009-02-26,2009-07-31,Daniel,"Valdecir, Cláudio, Ailton, e todos os demais",SEBRAE - ACIC - PREFEITURA,"Financeiros para viabilizar treinamento  Locais para a realização dos treinamentos  Telefone, computador, datashow",todos,,termi,false
20645,2009,4,2009-12-22,REUNIÕES DE TRABALHO EM TODAS AS EMPRESAS,Promover encontros técnicos envolvendo os empresários do núcleo,Fazer as reuniões em todas as 9 empresas participantes da capacitação,Definir Detalhes sobre Reuniões com todos os envolvidos,2009-05-11,2009-10-20,"Ailton, Junior, Daniel","Claudio, Valdecir, Ademir, etc",ACIC-SEBRAE-PMC,"Agenda, telefones, computadores",Todos,,termi,false
20652,2009,1,2009-10-27,Núcleo Setorial de Tutismo Náutico de Canasvierias,Necessidades Priorizadas:  Ajuste do modelo de Gestão  Divulgação (propaganda)  Estudo de Mercado  Mudança no sistema de vendas  Otimizar e manter os equipamentos com padrão elevado  Pessoal capacitado  Realização de Trabalho Social  Parceria com a prefeitura para cobrança do desembarque dos navios.,"Qual o aumento de faturamento que se pretende nas empresas em % com a aplicação do presente planejamento e no prazo determinado por este.  (    ) de 0 a 5%    (   ) de 5,1 a 10%                            (  ) de 10,1 a 20%   (X) de 20,1 a 25%     (   ) de 25,1% a 30%     (   ) acima de 30%",Atividadesa a serem executadas,2009-03-13,2009-12-31,Dilson da Costa,Consultores de Núcleos - ACIF,ACIF - Associação de Escunas de Canasvieiras,"Sala na ACIF regional Canasvierias para duas reuniões mensais;  Duas horas técnicas de um consutor do empreender, para duas reuniões mensais.",Consutor do Empreender e Coordenador,,termi,false
20658,2010,1,2010-10-21,Projeto de desenvolvimento do núcleo de salões de Beleza da AEMFLO,1:Aumentar em 10% a quantidade de postos de trabalho nas empresas até o fim do projeto;  2:Aumentar em 20% o faturamento das empresas até o fim do projeto;  3:Aumentar em 20% o valor do ticket médio das empresas participantes até o fim do projeto;  4:Promover a melhoria dos processos de relacionamento com o cliente entre as empresariais nos empreendimentos participantes até o fim do projeto;  4: Promover a melhoria dos processos de controle financeiro das empresas participantes até o final do projeto.,,"Promover o aumento da competitividade das empresas participantes do Núcleo Setorial de Salões de Beleza e Estética, por meio do aumento do faturametno e ...",2010-07-01,2011-12-31,Mario Augusto Pacheco de S. Thiago,,"DB CLEAN LTDA, BRUDINE MÓVEIS e Prefeitura Munincipal de São José","R$42.460,00",Mario Augusto Pacheco de S. Thiago,,atras,false
20673,2008,1,2008-07-16,PARTICIPAÇÃO NA PARANAPÃO,CONTATO COM FORNECEDORES PARA NEGOCIAÇÃO DE COMPRAS,COMPRA DE FARINHA A CUSTOS MENORES DO QUE OS QUE TEM SIDO PRATICADOS ATÉ AGORA,VISITA À FEIRA E STANDS DOS MAIORES FORNECEDORES DE FARINHA,2008-05-28,2008-05-28,CLACI,TODOS,ACICLA,CARROS PARA VIAGEM A CURITIBA,SILVANA -,,termi,false
20673,2008,2,2008-07-16,PARTICIPAÇÃO NA FEIRA DE SERVIÇOS,"PARTICIPAR NA FEIRA DE SERVIÇOS DA ACICLA, DIVULGANDO SEUS PRODUTOS E CONQUISTANDO NOVOS CLIENTES.",NOVOS CLIENTES NAS PANIFICADORAS E AUMENTO NO NUMERO DE ENCOMENDAS,ORGANIZAR PARTICIPAÇÃO NA FEIRA,2008-06-10,2008-06-12,AMAURI,TODOS,ACICLA,"O STAND FOI CEDIDO PELA ACICLA, MESAS OS EMPRESÁRIOS LEVARAM, ASSI COMO TOALHAS E TUDO O MAIS ARA A BOA APRESENTAÇÃO DOS PRODUTOS.",SILVANA,,termi,false
20673,2008,3,2008-10-22,Palestra Atendimento ao Cliente,"Proporcionar aos participantes uma visão moderna sobre atendimento ao cliente e divulgar o Núcleo, convidando mais panificadoras para participarem do mesmo.",Mais 3 panificadoras integrando o núcleo.,Palestra Atendimento ao Cliente,2008-09-30,2008-10-15,Silvana,Maria Rosa,Sebrae e ACICLA,"Palestrante, data-show, folhetos com convites para os cursos futuros e participação no núcleo, telemarketing convidando as empresas que ainda não fazem parte do Núcleo.",Silvana,,termi,false
20673,2008,4,2008-10-22,Curso Controles Financeiros Essenciais,"Participação dos integrantes do núcleo e empresas do ramo, convidadas a participar, gerando interação entre o grupo.  Conhecimento sobre os principais controles financeiros para utilização em suas empresas.","Até o final de janeiro de 2009, todas as empresas participantes do nucleo utilizando as ferramentas apresentadas durante o curso",Curso Controles Financeiros Essenciais,2008-09-30,2008-11-10,Silvana,Jaime Sebrae,Sebrae a ACICLA,"Telemarketing para convite, sala, coffee, data-show, apostilas, certificados, listas de presença.",Silvana,,termi,false
20673,2008,6,2008-10-22,AÇÃO SOCIAL E MARKETING,"ENTREGA DE KITS DE NATAL NOS ASILOS DO MUNICÍPIO, COM COBERTURA DA IMPRENSA LOCAL.","vER DIVULGADA ESTA AÇÃO DO NÚCLEO NA MÍDIA LOCAL, COMO AÇÃO DE MARKETING NA ÉPOCA DE NATAL.",DOAÇÃO DE KITS NATALINOS NO ASILOS,2008-10-22,2008-12-10,MARIA ROSA,AMAURI,ACICLA,"MARCAR DATA, LISTAR OS INGREDIENTES DO KIT, DIVIDIR A QUANTIDADE POR EMPRESA, CONVIDAR IMPRENSA.",SILVANA,,termi,false
20673,2008,7,2008-10-22,PROMOÇÃO DE NATAL DO NUCLEO,"SORTEAR UMA CESTA EM CADA PANIFICADORA, CADASTRANDO SO CLIENTES E CRIANDO FIDELIZAÇÃO, ALÉM DE DIVULGAR  NÚCLEO.",NUMERO DE PESSOAS INSCRITAS EM CADA PANIFICADORA.   AUMENTO DAS VENDAS.  EVIDENCIA DA NECESSIDADE DE CONTROLES FINANCEIROS PARA APURAR O RETORNO DO INVESTIMENTO EM DIVULGAÇÃO.,PROMOÇÃO DE NATAL DO NUCLEO,2008-10-22,2008-12-10,FELIX,SILVANA,ACICLA,"PANFLETOS, DIVULGAÇÃO, POIS CADA PANIFICADORA FARÁ SUA CESTA E SUA URNA.",SILVANA,,termi,false
20673,2009,1,2009-09-23,Participação na II Feira de Serviços-ExpoServiços,NOVOS CLIENTES NAS PANIFICADORAS E AUMENTO NO NUMERO DE ENCOMENDAS,DISTRIBUIÇÃO DE CARTÕES COM DESCONTOS PARA MEDIR QUANTOS VISITAM O ESTABELECIMENTO DEPOIS DA FEIRA.,Participação na II Feira de Serviços-ExpoServiços,2009-09-09,2009-09-18,Marina,Todos,ACICLA,"Mesa, cadeira, toalha, banner, cartões de visita (cupons)",Marina,,termi,false
20686,2004,1,2008-10-21,PLANO DE AÇÃO - NS CONFECÇÃO,Situação desejada:  Ação 1 - atingir o mínimo de 15 nucleados;  Ação 2 - realizar feira e desfile;  Ação 3 - participação como expositores no 2º Encontro Estadual do Empreender;  Ação 4 - galpão c/ insfraestrutura para abrigar o mínimo de 06 Nucleados;,Ação 1 - percentual;  Ação 2 - realização da 1ª Empre & Moda;  Ação 3 - expositores no 2º Encontro Estadual do Empreender;  Ação 4 - contrato de cessão ou locação de galpão;,Plano de Ação,2004-08-05,2005-01-30,Mauro Ribeiro,Todos Nucleados e Consultor,"ACE Guará, Sebrae - ER Franca, Pref. Mun. Guará, lojas de calçados, ótica, maquiadores, cabeleireiros;","40 horas (visitas)  Fitas p/ demarcação \\\\\\""stands\\\\\\""  Materiais p/ decoração  Locação de som  Apresentador(a)  Show musical",Néio,,termi,false
20687,2008,1,2008-08-20,Missão Empresarial,Arpimoramento dos profissionais da area de beleza e estetica,,Missão empresarial,2008-08-31,2008-08-31,Anita Teruko,nucleo,sebrae,subsidio do parcerio sebrae para execução da viagem ate a cidade de Santos,,,termi,false
20687,2009,1,2009-08-05,Missão técnica,obter conhecimentos especificos na area de atuação,,Missão técnica,2009-05-25,2009-05-30,Consultor,Anita / Silvio,Sebrae,Transporte,consultor,,termi,false
20687,2009,2,2009-08-05,Missao empresarial,Obtenção de conhecimento especifico na area,,Missão empresarial,2009-03-01,2009-03-31,Consultor,anita,sebrae,horas,consultor,,termi,false
20688,2008,1,2008-11-18,Expobarigui 2008 Curitiba /PR,Divulgação dos produtos do junco ao mercado do sul do pais,Contatos com diversos empresarios do setor  Contatos para nova feira no ano de 2009,Expobarigui 2008 Curitiba/PR,2008-09-24,2008-11-02,nucleo,,,horas tecnicas  aluguel de estande  diarias de hotel,douglas,,termi,false
20688,2008,2,2008-11-28,Exposição na 5ª feira do empreendedor - Campos do Jordão,"Expor os produtos e marca junco ao mercado consumuidor, exaltando a qualidade dos produtos criados, direcionando para o nicho de mercado",,5ª Feira do Empreendedor,2008-11-19,2008-11-21,Consultor Ricardo,Aciar,,,Ricardo,,termi,false
20689,2008,1,2008-08-20,7ª Feira Liquida Estoque,Aumentar o capital de giro das empresas atraves da queima de estoque parado,,Feira de luqidações,2008-06-01,2008-09-09,nucleo,nucleo,"sebrae, associação comercial",aporte financeiro para locação e organização do espaco fisico,nucleo,,termi,false
20689,2008,2,2008-10-20,FESTIVAL DAS CRIANÇAS,,,FESTIVAL PARA AS CRIANÇAS,2008-11-01,2008-11-15,NÚCLEO,NÚCLEO,ASSOCIAÇÃO COMERCIAL,HORAS TÉCNICAS  ALUGUEL DE BRINQUEDOS  COMPRA DE DOCES E BRINQUEDOS,CONSULTOR E NÚCLEO,,termi,false
20689,2008,3,2008-11-18,1º Desfile Vestir e Calçar,"Os resultados foram atingidos, que eram o de divulgar mais a marca da empresa nucleada","participação ativa da comunidade, onde o ingresso custaria dois quilos de alimentos que foram revertidos a entidades assistenciais",1 desfile Vestir e Calçar,2008-03-05,2008-05-15,nucleo,nucleo,"sebrae, associação comercial",horas   aluguel de equipamentos  aluguel de espaço,marcelo,,termi,false
20689,2009,1,2009-02-25,2º Desfile Vestir e Calçar,,,Desfile de moda do nucleo setorial de confecções,2009-03-02,2009-05-11,Nucleo setorial,,Associação comercial,Horas técnicas  Financeiros,Consultor/Coordenador,,termi,false
20689,2009,2,2009-06-12,8ª Feira Liquida Estoque,,,Feira Liquida Estoque,2009-06-01,2009-09-05,Ricardo,Núcleo,"Prefeitura Municipal , Sebrae","Horas Ténicas  Monagem de Estandes  Iluminação auxiliar  Sonorização ambiente  Midia de Divulgação(Radio,panfletos,cartazes,outdoor)",Consultor,,termi,false
20689,2009,3,2009-10-27,Festa Beneficente no Agrochá,,,Festa Beneficente no Agrochá,2009-09-01,2009-10-23,Nucleo setorial,,,"Horas técnicas, material diverso",Ricardo Flórido - Consultor,,termi,false
20689,2010,1,2010-04-01,3º Desfile Vestir e Calçar,,,Desfile do nucleo setorial,2010-03-18,2010-05-20,nucleo setorial,,sebrae,"horas técnicas, recursos financeiros,materiais e equipamentos",consultor,,termi,false
20689,2010,2,2010-06-22,9ª Feira Liquida Estoque,,,Feira anual,2010-06-01,2010-09-11,Ricardo M. Flórido,Nucleo Setorial,Sebrae,"Equipamentos, materiais, financeiro e horas técnicas",Ricardom M. Flórido,,termi,false
20693,2011,1,2011-03-07,PROJETO EMBALAGENS & ARTESANATO,Ter 10 artesãs participando da Oficina;  Aumentar em 30% o faturamento das artesãs até dezembro/2011;,"T0 (soma do faturamento de cada artesã do Núcleo;  T1 a T8 (soma do faturamento de cada artesã nos meses de maio,junho,julho,agosto,setembro,outubro,  novembro e dezembro/2011",Criação de uma coleção de embalagens com diferenciais em relação à materia prima e técnicas utilizadas que sejam ecologicamente corretas e economicamente viávei,2011-02-01,2011-12-31,Néio César,"Néio César, Rhaavi - Instrutor e todas Nucleadas;","ACE Guará, ACTL, Sebrae - ER Franca, Pref. Mun. de Guará;","Recursos financeiros: R$ 1.650,00 (R$ 700,00 - ACTL e R$ 950,00 - ACE Guará;  Recursos  econômicos: R$ 700,00  (ACE Guará);  40 horas aula  7cofee-break, sala de reunião;","Néio, Rhaavi e Gestor ACTL",,atras,false
20694,2008,1,2008-07-02,Diagnóstico da Situação  Atual,levantar as necessidade do grupo para traçar estragegia de melhoria.,100% das estradas de acesso sinalizadas e pavimentadas.,Pedido através de Oficio aos Orgão competentes.,2008-05-14,2008-06-12,Maria Helena,"Maria Helena, Sandra e Anderson",Camara  Municipal Prefeitrua Municipal e Associação Comercial,"sulfite,  computador, tempo para fazer o oficio  uma hora, reunioes",Maria Helena,,termi,false
20694,2008,2,2009-02-26,TREINAMENTO APRENDER A EMPREENDER - POUSADAS E HOTÉIS,"TREINAMENTO CONCLUÍDO NO PRAZO DE DOIS MESES NO MÁXIMO, COM A PARTICIPAÇÃO DE TODOS OS MEMBROS DO NÚCLEO.",NÚCLEO 100 % TREINADOS E CAPACITADOS.,TREINAMENTO DE 24HORAS MINISTRADOS EM 5 DIAS.,2008-10-10,2008-11-27,MARIA HELENA RODRIGUES DE ASSIS JOAQUIM,"PREFEITURA MUNICIPAL, ACIQUEN, ESCOLA CASTRO ALVES","PREFEITURA MUNICIPAL, ACIQUEN, ESCOLA CASTRO ALVES E SEBRAE","SALA DE AULA, TV, APARELHO DE DVD, FOLHAS DE FLIP CHART, APOSTILAS, CANETÕES, PAPEL SULFITE ETC.",ANDERSON,,termi,false
20694,2008,3,2009-02-26,TREINAMENTO DE EMPREENDEDORISMO - MEMBROS DO NÚCLEO DE TURISMO,"DESPERTAR OS PARTICIPANTES SOBRE O EMPREENDEDORISMO, CONHECER AS 10 CARACTERÍSTICAS DO COMPORTAMENTO EMPREENDEDOR, NOÇÕES BÁSICAS DE GESTÃO EMPRESARIAL.","100 % DOS MEMBROS TREINADOS E CAPACITADOS, COM CONDIÇÕES DE IDENTIFICAR AS CARACTERÍSTICAS EMPREENDEDORAS NATAS.","AS 10 CARACTERÍSTICAS EMPREENDEDORAS E OS COMPORTAMENTOS, NOÇÕES BÁSICAS DE GESTÃO EMPRESARIAL, LEVANTAMENTOS DE CUSTOS, FLUXO DE CAIXA, PREÇO DE VENDA ETC.",2008-07-17,2008-09-04,MARIA HELENA - CONSULTORA,"SANDRA, ANDERSON E ROSALINA","PREFEITURA MUNICIPAL, SEBRAE E ACIQUEN.","SALA PARA TREINAMENTO, TV, APARELHO DE DVD, FLIP CHART, FOLHAS, PAPEL SULFITE, CANETÕES, APOSTILAS ETC. O CURSO TERÁ INICIO DIA 31 DE JULHO.",CRISTIANO CARÁ,,termi,false
20694,2008,4,2009-02-26,FORMAÇÃO DO CONSELHO MUNICIPAL DE TURISMO,A FORMAÇÃO DO CONSELHO MUNICIPAL DE TURISMO FORMADO/IMPLANTADO E FORMALIZADO.,100 % DO OBJETIVO ATINGIDO - CONSELHO FORMADO E FORMALIZADO.,"FORMAÇÃO DO CONSELHO, COM A PARTICIPAÇÃO DE VÁRIOS SEGMENTOS DA SOCIEDADE",2008-07-19,2008-08-20,"ANDERSON, LORIVAL.","SANDRA -ACIQUEN, ROSALINA - ACIQUEN, MARIA HELENA - CONSULTORA","PREFEITURA MUNICIPAL, ACIQUEN, RETUR.","SALA PARA REUNIÃO, PAPEL SULFITE, CANETAS, ETC.",MARIA HELENA,,termi,false
20694,2009,1,2009-02-26,SENSIBILIZAÇÃO PARA  A FORMAÇÃO DO CONSELHO MUNICIPAL DE TURISMO,PESSOAS REPRESENTANTES DE DIVERSOS SEGMENTOS DA SOCIEDADE SENSIBILIZADAS PARA A FORMAÇÃO DO CONSELHO MUNICIPAL DE TURISMO DE QUERÊNCIA DO NORTE - PR.,PESSOAS SENSIBILIZADAS E DISPOSTAS A FORMAR O CONSELHO MUNICIPAL DE TURISMO.,REUNIÃO DE SENSIBILIZAÇÃO PARA A FORMAÇÃO DO CONSELHO MUNICIPAL DE TURISMO,2008-06-17,2008-06-19,LOURIVAL,"ANDERSON, SANDRA, MARIA HELENA","ACIQUEN, PREFEITURA MUNICIPAL","PAPEL SULFITE PARA OS CONVITES, FOLHAS DE FLIP CHART, DATA SHOW - MULTIMIDIA, CANETÕES, ETC.",MARIA HELENA E MARLENE,,termi,false
20704,2016,1,2016-06-07,Campanha do Agasalho,"Arrecadar agasalhos , cobertores",atender mais de 3 entidades carentes,Será feito uma divulgação ampla para arrecadar os agasalhos e será agendado um dia para efetuar a entrega,2016-06-06,2016-06-30,Todos,todos os núcleos,,,Consultora,2016-06-07,nosub,false
20704,2016,2,2016-12-26,OFICINA  Felith,Conhecer novo produto da Empresa Felith e a técnica de aplicação do shampoo alisante,Depoimento dos participantes no final da oficina,Demonstração passo a passo de cada etapa do processo de alisamento de 2 cabelos diferentes.,2016-08-08,2016-08-08,Irani Silva,Núcleo,"ACIR, FORNECEDORES ,","Sala - ACIR
Material da oficina - fornecedor",Consultora,2016-12-26,nosub,false
20704,2016,3,2016-12-26,OFICINA E cosméticos,Conhecer os  produto da Empresa E Cosméticos  a técnica de aplicação dos produtos,Depoimento dos participantes da oficina,Passo da aplicação dos produtos em 3 modelos,2016-08-15,2016-08-15,Jo,,"ACIR, FORNECEDORES ,","-Local - ACIR
-Produtos -fornecedores",Consultora,2016-12-26,nosub,false
20704,2016,4,2016-12-26,Ação Social -Recanto dos Idosos,Atender com serviços de beleza os idosos,Atender todos idosos do Lar do Recanto dos Idosos,"Prestar serviços de corte de cabelo, maquiagem, massagem, manicure.",2016-09-26,2016-09-26,Tania,Núcleo,,Material de apoio  cabeleireiros,,2016-12-26,nosub,false
20704,2016,5,2016-12-27,Oficina da Mutari,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-08-28,2016-08-28,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,6,2016-12-27,Oficina da Donatti,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-09-19,2016-09-19,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,7,2016-12-27,Oficina da Life Cosméticos,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-10-03,2016-10-03,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,8,2016-12-27,Oficina da SPA Cosméticos,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-10-10,2016-10-10,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,9,2016-12-27,Oficina da NutraHair,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-10-31,2016-10-31,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,10,2016-12-27,Oficina do Agilise,,,Demonstração de produtos em modelos de cabelos longos e curtos.,2016-11-22,2016-11-22,Irani de Sousa,,,,,2016-12-27,nosub,false
20704,2016,11,2016-12-27,Primeira Tarde da Beleza E-cosméticos,,,Tarde de beleza realizado com o apoio da E-Cosméticos.,2016-09-06,2016-09-06,Josefa Silva,,,,,2016-12-27,nosub,false
20704,2016,12,2016-12-27,Segunda Tarde de Belesa SPA,,,Tarde de beleza realizado com o apoio da SPA.,2016-10-17,2016-10-17,Sirley,,,,,2016-12-27,nosub,false
20704,2016,13,2016-12-27,Caravana Evento Cuiaba,,,Participação do evento pró beleza em Cuiabá.,2016-10-24,2016-10-24,Josefa Silva,,,,,2016-12-27,nosub,false
20704,2017,1,2016-12-27,Terceira Tarde de Beleza,,,Abertura das atividades do núcleo 2017.,2017-01-09,2017-01-30,Josefa Silva,,,,,2016-12-28,termi,false
20704,2017,2,2017-02-27,Ação Social -  dia das Mulheres Recanto dos idosos,"Atender com corte, esoova e pintura 50 mulheres em uma tarde",Lista de atendimento e foto,"Cortar cabelos, escovar, pintar",2017-03-06,2017-03-27,Núcleo,Núcleo de rep,"ACIR, FORNECEDORES ,","Material de trabalho de cada profissional
e tintas dos fornecedores",Consultora,2017-12-09,termi,false
20704,2017,3,2017-02-27,OFICINA,Novos conhecimentos para o núcleo,Lista de presença  com 40 integrantes,Passo a passo de uma nova técnica,2017-03-06,2017-06-13,Núcleo,,,Parceria com Fornecedor,Consultora,2017-12-09,termi,false
20704,2017,4,2017-03-14,oficina Mechas,Capacitar 30 cabeleireiras com nova tecnicas de fazer mechas,Registro fotográfico e lista de presença,O fornecedor apresentara ao vivo a nova técnica de fazer mechas,2017-03-13,2017-04-17,Irani Silva,Núcleo,Fornecedor,,Consultora,2017-03-14,nosub,false
