idassociacao,idfederacao,nmrazao,nucnpj,dtfundacao,idcidade,nucep,nunumero,dscomplemento,nufone,nufax,nufone2,dsemail,dshomepage,flativo,flvalidado,dsendereco,dsbairro,idbanco,dsagencia,dsconta,dtultimaatualizacao,dtatualizacao,idgestorassociacao,id_tipo_entidade,id_antigo,sigla,sigla_unica,logoentidade,usuario_inclusao,usuario_alteracao,data_inclusao,data_alteracao,dsestado,idpais,nmrassociados
2089,27,Associação Comercial e Empresarial de Conceição do Jacuípe,16451270000159,,536,44245000,12,,75999733445,75 3243-2311,75999733445,acecjberimbau@hotmail.com,www.associalcomercialconceicaojacuipe,S,t,Praça Benjamin Costa nr. 86-b,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACECJ,,,sistema,pesquisa,,2023-04-05,,29,
2090,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CONCEIÇÃO DO RIO VERDE,23559354000176,,2965,37430000,112,,35 3335-2748,,,acisamg@hotmail.com,,S,t,Rua Mario Ribeiro Junqueira,Centro,,,,2012-10-24,2012-10-24,,1,,,,,sistema,,,,,29,
2091,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CONCHAS,02288317000109,,9071,18570000,100,,14 3845-2404,,,gutaacic@fdnet.com.br,,S,t,RUA RIO DE JANEIRO Nº,CENTRO,,,,2014-12-09,2012-12-11,25026496849,1,,,,,sistema,,,,,29,
2092,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CONFINS,41630880000167,,2971,33500000,377,A,31 3686-2283,31 3686-2283,,acaccnf@ig.com.br,,N,t,RUA GAMELEIRA,CENTRO,,,,2011-01-27,2011-01-27,,1,,,,,sistema,,,,,29,
2093,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CONGONHINHAS,04635287000187,2005-04-14,5990,86320000,121,Sala 02,43 3554-1039,43 3554-1761,,acicongonhinhas@hotmail.com,,S,t,Av. Manoel Ribas,CENTRO,,,,2013-05-02,2013-05-02,,1,,,,,sistema,,,,,29,
2094,55,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGROPECUÁRIA DE CORDILHEIRA ALTA",04526727000168,,8425,89819000,532,SALA 2,49 3358-0253,,,aciacacordilheira@yahoo.com.br,,N,t,AV FERMINO TOZZO,CENTRO,,,,2020-09-29,2009-05-07,00490559093,1,,,,,sistema,,,,,29,
2095,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE COROADOS,03897921000197,,9073,16260000,19,ANEXO A RODOVIÁRIA,18 3645-7397,,,acicoroados@itelefonica.com.br,,S,t,RUA PRINCESA ISABEL,CENTRO,,,,2009-05-28,2009-05-28,,1,,,,,sistema,,,,,29,
2096,46,Associaçao Empresarial de Coronel Vivida,77486090000105,1975-11-28,5999,85550000,156,CAIXA POSTAL 151,4632321547,46 3232-1547,46991056634,acivi@wln.com.br,acivi.org.br,S,t,rua Brigadeiro Rocha Loures,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIVI,,,sistema,pesquisa,,2023-04-05,,29,
2097,57,Assoc Coml Indl de Cravinhos,51811396000198,,9083,14140000,237,,1639511117,,1639511117,acic@acicravinhos.com.br,acic@aciccravinhos.com.br,S,t,rua Cerqueira Cesar 237,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2098,57,Assoc Coml Indl de Cubatao,46480364000117,,9088,11510070,171,,1333611519,,13991977423,acic@litoral.com.br,www.acicubatao.com.br,S,t,Bahia 171,VILA PAULISTA,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2099,55,Associação Empresarial de Curitibanos,83453001000119,,8433,89520000,388,ED. GABOARDI MASTER CENTER  sl 51,49999632436,49 3245-1142,4932451142,acicuritibanos@terra.com.br,www.acicuritibanos.com.br,S,t,"Avenida Salomão Carneiro de Almeida, 388",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIC,,,sistema,pesquisa,,2023-04-05,,29,
2100,34,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE CURVELO,18049106000145,1932-03-17,3023,35790000,86,15º ANDAR,38 3721-2116,,,acic70@hotmail.com,,S,t,RUA PACIFICO MASCARENHAS,CENTRO,,,,2012-10-22,2012-10-22,,1,,,,,sistema,,,,,29,
2101,57,Assoc Coml Indl de Descalvado,51322907000108,,9093,13690000,397,,1935836888,19 3583-1324,1935836888,acidesc@terra.com.br,www.acidescalvado.com.br,S,t,rua Madre Cecilia 397 b,JARDIM BELÉM,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2102,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IBEMA,78120847000105,1981-10-28,6148,85478000,1284,caixa posatal 32,45 3238-2034,45 3238-1313,,acei.ibema@bol.com.br,valdirscheifer@hotmail.com,S,t,Rua Paranavai­,CENTRO,,,,2013-01-10,2013-01-10,,1,,,,,sistema,,,,,29,
2103,57,Assoc Coml Emprl de Dois Corregos,50840750000140,,9099,17300000,434,,1436521266,11 4436-5212,14998441969,acedc@hotmail.com,não tem,S,t,rua Tiradentes 434,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2104,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE DOM CAVATI,,2005-04-14,3053,35148000,,,33 3357-1168,33 3357-1168,,,,N,f,"PÇA MAGALHÃES PINTO, 67",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
2105,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE DOURADINA,95640900000100,1984-04-10,6033,87485000,768,,44 3663-1582,44 3663-1582,,acedouradina@hotmail.com,,S,t,RUA ANCHIETA,CENTRO,,,,2010-08-23,2010-08-23,,1,,,,,sistema,,,,,29,
2106,38,Associação Comercial e Empresarial de Dourados,03859295000144,1945-05-29,4163,79801015,1480,,6734168653,67 3416-8611,,acedms@aceddourados.com.br,https://www.aceddourados.com.br/,S,t,"Avenida Joaquim Teixeira Alves, 1480",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACED,,,sistema,pesquisa,,2023-04-05,,29,
2107,32,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE DOVERLÂNDIA,,2005-04-14,2157,75855000,,,64 3664-1449,64 3664-2105,,,,N,f,Av. Antonio Carlos Paniago nº 233,SETOR CENTRAL,,,,,,,1,,,,,sistema,,,,,29,
2108,57,Assoc Coml Emprl de Dracena,44877611000198,,9103,17900000,1279,,1838218812,18 3821-6130,1838218811,acidracena@uol.com.br,www.acedracena.com.br,S,t,rua Brasil 1279,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2109,57,Assoc Coml Indl de Duartina,59999938000100,,9104,17470000,616,,1432824218,,1432824218,acid_duartina3@hotmail.com,aciduartina.com.br,S,t,rua Dona Rima Simão 440,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2110,57,Assoc Coml Indl Agricola de Viradouro,66999616000126,1993-03-01,9784,14740000,159,CASA,1991992467,17 3392-2270,1792597323,aciav@aciav.com.br,www.aciav.com.br,S,t,rua Gabriel Rodrigues de Amorim 30,CENTRO,,,,2023-04-05,2023-04-05,07170692813,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2111,57,Assoc Coml Indl de Echapora,02950796000179,,9107,19830000,403,,1833561687,,1833561687,edna_acee@hotmail.com,www.aceechapora@hotmail.com,S,t,rua sao Paulo 485,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2112,32,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE EDÉIA,03812468000179,,2159,75940000,240,,64 3492-1577,64 3492-1333,,cdledeia@hotmail.com,,S,t,RUA D.PEDRO II,CENTRO,,,,2009-05-19,2009-05-19,,1,,,,,sistema,,,,,29,
2114,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ENÉAS MARQUES,73634461000190,1993-07-29,6046,85630000,237,,46 3544-1722,46 3544-1101,,aciem_eneasmarques@hotmail.com,leticia_z.m@hotmail.com,S,t,RUA RAUL MARTINS,CENTRO,,,,2013-01-10,2013-01-10,,1,,,,,sistema,,,,,29,
2115,46,Associação Comercial e Empresarial de Entre Rios do Oeste,72389372000162,1993-01-14,6049,85988000,583,,4532571233,45 3257-1233,45998221824,acier1933@hotmail.com,www.acier.org.br,S,t,"rua Osvaldo Schaefer, Nº583",CENTRO,,,,2023-04-05,2023-04-05,07932657970,1,,ACIER,,,sistema,pesquisa,,2023-04-05,,29,
2116,57,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ESTIVA GERBI,00870123000183,,9126,13857000,80,,19 3868-9915,,,aceeg@itelefonica.com.br,,N,t,RUA AUGOSTINHO DE COLI,CENTRO,,,,2011-02-28,2011-02-28,,1,,,,,sistema,,,,,29,
2117,57,Assoc Coml Indl Estrela d Oeste,51838480000103,,9127,15650000,45,,1738339419,,1797311280,maricifavero@hotmail.com,www.aciel.com.br,S,t,rua Minas Gerais 960 Predio da Rodoviaria,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2118,57,Assoc Coml Indl de Fartura,51504165000131,,9131,18870000,436,,14920008226,14 3382-1224,1433821891,fartura@sii-facesp.com.br,aciffartura.com.br,S,t,Barro do rio Branco 436,VILA VELHA,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2119,46,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE FAXINAL,80922404000171,1976-02-05,6061,86840000,52,CONJUNTO HAB. PEDRO GONÇALVES DA LUZ,43 3461-1282,,,acefaxinal@cacinp.org.br,gediel@kaelys.com.br,S,t,RUA URIAS MIRANDA,CENTRO,,,,2013-01-09,2013-01-09,,1,,,,,sistema,,,,,29,
2120,57,Assoc Coml Indl de Fernandopolis,45114519000139,,9136,15600013,135,CAIXA POSTAL 97,1734653555,,17997764150,geraldopedro@acifnet.com.br,http://www.acifnet.com.br,S,t,av. Primo Angelucci 135 Cp97,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2121,46,"ASSOCIAÇÃO COMERCIAL, INDUSTRIAL E AGRÍCOLA DE FIGUEIRA",86754249000108,1993-08-27,6077,84285000,14,sala 03,43 3457-1012,,,aciaf@franet.com.br,sm.godoi@hotmail.com,S,t,RUA Mário Barros,CENTRO,,,,2013-01-09,2013-01-09,,1,,,,,sistema,,,,,29,
2122,32,ASSOCIAÇÃO COM.  IND. DE FIRMINOPOLIS,,2005-04-14,2163,76105000,,,64 3681-1553,-64,,,,N,f,Av. Rui Barbosa nº 1336,CENTRO,,,,,,,1,,,,,sistema,,,,,29,
2123,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FLORESTA,00070047000121,1994-03-14,6083,87120000,2499,,44 3236-1326,,44 3232-2002,aciestapr@hotmail.com,http://www.aciestapr.com.br,S,t,Av. Jetúlio Vargas,CENTRO,,,,2013-05-17,2013-05-17,,1,,,,,sistema,,,,,29,
2126,54,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FORTALEZA DOS VALOS,92930007000120,,7729,98125000,392,,55 3328-1305,55 3328-1305,,acif@ibest.com.br,,N,t,AVENIDA JERÔNIMO STAFANELLO,CENTRO,,,,2020-09-24,2009-06-04,,1,,,,,sistema,,,,,29,
2127,46,Associação Comercial e Empresarial de foz do Iguaçu,77089746000148,1950-04-14,6091,85851080,490,,4535213300,45 3521-3300,4535213325,helena@acifi.org.br,www.acifi.org.br,S,t,"r. Padre Montoya, 490",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIFI,,,sistema,pesquisa,,2023-04-05,,29,
2129,46,Associação Empresarial de Francisco Beltrão,78123619000180,1962-05-01,6094,85605470,1213,MINIGUAÇU,4639051450,,46999751566,empreender@acefb.com.br,www.acefb.com.br,S,t,"rua Perú, 1213",LUTHER KING,,,,2023-04-05,2023-04-05,05592575971,1,,ACEFB,ACE - FB,,sistema,pesquisa,,2023-04-05,,29,
2130,54,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE FREDERICO WESTPHALEN,89988265000153,,7730,98400000,1013,"1º ANDAR, SALA 03",55 3744-4244,55 3744-4244,,acifw@tcheturbo.com.br,www.acifw.com.br,S,t,,CENTRO,,,,2022-05-10,2022-05-10,,1,,AEFW,,,sistema,nat.rodrigues,,2022-05-10,,29,
2131,34,Associação Comercial e Empresarial de Guanhães,38512489000153,,3177,39740000,205,,3334211980,33 3421-1980,33984141477,acig@ghnet.com.br,www.acigguanhaes.com.br,S,t,tv dos Leões nº 25 Sala 03,CENTRO,,,,2023-04-05,2023-04-05,09413942633,1,,ACIG,,,sistema,pesquisa,,2023-04-05,,29,
2132,57,Assoc Coml Indl de Garca,49887805000198,,9150,17400000,192,,1434710480,,1434710480,gerencia.acig@garcaonline.com.br,www.garcaonline.com.br,S,t,av dr Rafael Paes de Barros 347,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2133,55,Associação Empresarial de Garuva,79360210000140,,8462,89248000,2095,,4734452338,,47992108265,acigaruva@ibest.com.br,https://www.acigaruva.com.br/,S,t,"av. Celso Ramos, nº 2095",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIG,,,sistema,pesquisa,,2023-04-05,,29,
2134,55,ASSOCIAÇÃO EMPRESARIAL  DE GASPAR,83779645000100,,8463,89110000,111,,47 3332-1371,47 3332-2190,,aciggs@terra.com.br,,S,t,,,,,,2023-01-17,2023-01-17,,1,,ACIG,ACIG2,,sistema,Mluiza,,2023-01-17,,29,
2135,54,"ASSOCIAÇÃO COMERCIAL, CULT. E INDUSTRIAL DE GAURAMA",92453745000124,,7736,99830000,48,,54 3391-1163,54 3391-1321,,cegama@itake.psi.br,,N,t,RUA JOSÉ  BONIFACIO,CENTRO,,,,2020-09-24,2010-08-25,,1,,,,,sistema,,,,,29,
2136,57,Assoc Coml Indl de General Salgado,55750699000107,,9154,15300000,1059,,1738321427,,1738321427,acigal@bol.com.br,www.acigs.com.br,S,t,rua Ulderico Valeze 1059 Predio,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2137,38,Associação Comercial e Empresarial de Gloria de Dourados,07795474000116,2005-09-28,4168,79730000,1340,SALA 8 BLOCO C- MERCADO MUNICIPAL,67999055325,67 3466-1623,,fabinhocamargo@hotmail.com,FECEBOOK,S,t,Bento Machado Lobo Nº1715,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACEGD,,,sistema,pesquisa,,2023-04-05,,29,
2139,33,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE GRAJAÚ,69438711000149,,2468,65940000,65,B,99 3532-7969,99 3532-6213,99 3532-6246,acig@hotmail.com,,S,t,RUA HUMBERTO DE CAMPOS,CANOEIRO,,,,2012-11-27,2012-11-27,,1,,,,,sistema,,,,,29,
2140,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE GRANDES RIOS,03173917000186,1999-03-15,6113,86845000,248,,43 3474-1333,43 3474-1262,,acegranderios@cacinp.org.br,rosana.camargo.12@hotmail.com,S,t,AV. BRASIL,CENTRO,,,,2013-01-10,2013-01-10,,1,,,,,sistema,,,,,29,
2144,46,Associação Comercial e Empresaarial de Guaraniaçu,78121795000183,1982-06-30,6130,85400000,860,SALA 01 B,4532321058,45 3232-1897,45999721014,aceg_gcu@hotmail.com,https://www.acegguaraniacu.com.br/,S,t,"Avenida Abilon de Souza Naves, 668",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACEG,,,sistema,pesquisa,,2023-04-05,,29,
2145,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE GUARATUBA,80295975000123,1970-08-17,6135,83280000,368,,41 3472-1376,41 3472-9009,,guaratuba@gmail.com,guaratubafinanceiro@gmail.com,S,t,Rua José Nicolau Abagge,CENTRO,,,,2013-01-10,2013-01-10,,1,,,,,sistema,,,,,29,
2146,57,Assoc Coml Emprl de Guarulhos,44264331000104,,9183,7197010,278,,1121379311,11 2137-9335,1121379333,presidencia@aceguarulhos.com.br,http://www.aceguarulhos.com.br,S,t,Joao Bernardo Medeiros 278,JARDIM BOM CLIMA,,,,2023-04-05,2023-04-05,03929838850,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2148,34,ASSOCIAÇÃO COMÉRCIO E INDÚSTRIA DE GUAXUPÉ,01331832000153,,3190,37800000,20,,35 3551-6555,35 3551-6556,,acig@uainet.com.br,,S,t,TRAVESSA JOAO CRUVINEL,CENTRO,,,,2012-01-23,2012-01-23,,1,,,,,sistema,,,,,29,
2149,39,Associação Comercial e Industrial de Guiratinga e Tesouro,03221578000166,,4369,78760000,1093,,66996490815,,66992004340,acig_centro@hotmail.com,http://www.acig-mt.com.br,S,t,"Avenida rio Branco, 519 - Sala 01",CENTRO,,,,2023-04-05,2023-04-05,,1,,ACIG,,,sistema,pesquisa,,2023-04-05,,29,
2150,58,Associação Comercial e Industrial de Gurupi,01800267000126,,9862,77405090,1211,,33124303,63 3312-4341,,acig.imprensa@gmail.com,www.aciggurupi.com.br,S,t,rua Presidente Castelo Branco n 1211,SETOR CENTRAL,,,,2023-04-05,2023-04-05,,1,,ACIG,,,sistema,pesquisa,,2023-04-05,,29,
2152,32,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE HIDROLANDIA,,2005-04-14,2184,75000000,,,62 3237-2600,-62,,,,N,f,Rua José Amâncio nº 421,CENTRO,,,,,,,1,,,,,sistema,,,,,29,
2153,46,Associação Comercial e Empresarial de Honório Serpa,00791288000160,1995-09-06,6145,85548000,00,,46999198275,46 3245-1124,,acehs_adineia@hotmail.com,acehonorioserpa.com,S,t,av xvi de Novembro,CENTRO,,,,2023-04-05,2023-04-05,04506322967,1,,ACEHS,,,sistema,pesquisa,,2023-04-05,,29,
2154,46,Associação Comercial e Empresarial de Ibaiti,81392433000131,1989-11-09,6147,84900000,153,,4335461358,43 3546-1358,,aceib.aceib@gmail.com,www.aceib.com.br,S,t,"rua Paraná, 205, Sala c",Centro,,,,2023-04-05,2023-04-05,09590611931,1,,ACEIB,,,sistema,pesquisa,,2023-04-05,,29,
2157,57,Assoc Coml Indl de Ibitinga,47042932000160,,9020,14940000,646,,1633425000,,1633425186,administracao@acibitinga.com.br,www.acibitinga.com.br,S,t,"rua José Custodio, 646",CENTRO,,,,2023-04-05,2023-04-05,07170692813,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2158,31,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IBITIRAMA,02098213000123,1997-12-09,1885,29540000,51,,28 3569-1318,28 3569-1212,,aci.ibitirama@hotmail.com,laudiceia.ibitirama@hotmail.com,S,t,RUA EDGAR SANTANA ALVES,CENTRO,,,,2013-01-14,2013-01-14,,1,,,,,sistema,,,,,29,
2159,31,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ICONHA,01408702000171,1996-06-11,1888,29280000,591,,28 3537-2154,28 3537-1201,,acinic_iconha@yahoo.com.br,acinic@bol.com.br,S,t,RUA MUNIZ FREIRE,CENTRO,,,,2013-01-14,2013-01-14,,1,,,,,sistema,,,,,29,
2160,57,Assoc Coml Emprl de Iguape,44306256000105,,9210,11920000,86,,1338411118,,1397772409,aciguape@terra.com.br,associacaocomercialdeiguape.com.br,S,t,rua 9 de Julho 86,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2161,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IGUATAMA,,2005-04-14,3213,38910000,,,37 3353-2144,-37,,,,N,f,"RUA TRES, 185",CENTRO,,,,,,,1,,,,,sistema,,,,,29,
2162,57,Assoc Coml Emprl de Ilhabela,50322338000138,,9214,11630000,3039,LOJA 02,1238957102,,1238958523,acilhabela@acilhabela.com.br,www.acilhabela.com.br,S,t,av. Princesa Isabel 3039 Loja 02,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2163,57,Assoc Coml Indl Profiss Liberais de Ilha Comprida,64037906000163,,9211,11925000,410,LOJA 02,1338426694,,1338424392,ilhaacic@terra.com.br,joelacabamentos,S,t,av. sao Paulo 410,BALNEÁRIO ADRIANA,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2164,57,Assoc Coml Emprl de Ilha Solteira,47761044000106,,9213,15385000,185,,1837422963,,1837422963,aceis@projetonet.com.br,http://www.aceis.org.br,S,t,rua rio Tapajos 185,CENTRO,,,,2023-04-05,2023-04-05,05837319883,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2165,55,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ILHOTA,81155079000121,,8484,88320000,130,,47 3343-1134,47 3343-1134,,aci_il@flynet.com.br,,S,t,RUA Dr. LEOBERTO LEAL,CENTRO,,,,2012-10-10,2012-10-10,,1,,,,,sistema,,,,,29,
2167,55,ASSOCIAÇÃO EMPRESARIAL DE IMBITUBA - ACIM,80987837000105,1989-11-25,8486,88780000,815,Sala 201 A,48 3255-1415,48 3255-1417,48 3255-1417,administrativo@acim-imbituba.com.br,www.acim-imbituba.com.br,S,t,,CENTRO,,,,2022-06-30,2022-06-30,,1,,ACIM-Imbituba,,,sistema,Mluiza,,2022-06-30,,29,
2168,55,ASSOCIAÇÃO EMPRESARIAL DE INDAIAL,79373833000158,,8488,89130000,100,,47 3333-8786,,47 3333-8705,administrativo@acidi.net,www.acidi.net,S,t,RUA VEREADOR ALVIN RAUH JUNIOR,NAÇÕES,,,,2012-10-10,2012-10-10,,1,,,,,sistema,,,,,29,
2169,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE INDIAPORA,63893762000184,,9218,15690000,1239,,17 3842-1218,,,indiapora@sii-facesp.com.br,,S,t,RUA INOCÊNCIO DUTRA DE SANTANA,CENTRO,,,,2013-01-07,2013-01-07,,1,,,,,sistema,,,,,29,
2170,32,Associação Comercial e Industrial de Ipameri,01156488000103,,2191,75780000,00,,6434911806,,64999003017,cdlipameri@yahoo.com.br,stapaulacalcados@hotmail.com,S,t,"rua Radio Amador Julio Sampaio, S/nª",VL BAIOCCH,,,,2023-04-05,2023-04-05,,1,,ACIIPA,,,sistema,pesquisa,,2023-04-05,,29,
2171,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE IPUA,01103748000182,,9226,14610000,1075,,16 3832-1077,16 3832-2155,,aciipua@yahoo.com.br,,S,t,AV. DONA TEREZA,CENTRO,,,,2015-04-16,2011-01-25,,1,,,,,sistema,,,,,29,
2173,57,Assoc Coml Indl de Irapuru,46442166000169,,9230,17880000,298,A,18997593041,18 3861-1837,18996375794,a.comercialrapuru@hotmail.com,iracema201262@hotmail.com,S,t,av Nove de Julho 298,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2175,57,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ITAJOBI,00795478000155,,9235,15840000,366,,17 3546-1787,,,itajobi@sii-facesp.com.br,,N,t,RUA EXPEDICIONÃZRIO,CENTRO,,,,2011-02-28,2011-02-28,,1,,,,,sistema,,,,,29,
2176,46,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ITAMBÉ,00366357000198,1994-09-29,6185,87175000,439,,44 3231-1367,44 3231-1379,,acitaitambe@live.com,,S,t,Rua SÃO Pedro,CENTRO,,,,2013-01-10,2013-01-10,,1,,,,,sistema,,,,,29,
2177,34,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE ITAPAGIPE,20058848000189,1943-09-18,3259,38240000,00,TERMINAL RODOVIÁRIO,34 3424-2210,34 3424-2210,,aciitacdl@hotmail.com,,S,t,"AV ONZE, S/N",CENTRO,,,,2012-10-22,2012-10-22,,1,,,,,sistema,,,,,29,
2178,27,ASSOCIAÇÃO COMERCIAL E EMPRESARIAL DE ITAPARICA,03270728000121,,1113,44470000,24,,71 3631-1444,,,aceita-diretoria@hotmail.com,aceita-presidente@hotmail.com,S,t,Rua José Carneiro,Centro,,,,2012-10-26,2012-10-26,,1,,,,,sistema,,,,,29,
2179,55,Associação dos Empresários de Itapiranga,05220978000182,1960-11-06,8510,89896000,157,,055996050488,49 3677-0332,04936770123,assemit@smo.com.br,https://assemit.com.br/novo/,S,t,rua Padre Teodoro Treis,CENTRO,,,,2023-04-05,2023-04-05,,1,,ASSEMIT,,,sistema,pesquisa,,2023-04-05,,29,
2180,46,"Associação Comercial e Empresarial de Itapejara D'oeste",78686037000102,1988-08-09,6189,85580000,279,,4635261219,46 3526-1300,46999817253,aceitapejara@hotmail.com,WWW.ACEITAPEJARA.COM.BR,S,t,rua Presidente Kennedy n° 279,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACEI,,,sistema,pesquisa,,2023-04-05,,29,
2181,55,Associação Empresarial de Itapema e Porto Belo,04603202000189,2001-03-26,8509,88220000,165,SALA 01,4733667410,,47992631854,contato@acitaitapema.com.br,Nao temos,S,t,"rua 112, 51 Sala 20",CENTRO,,,,2023-04-05,2023-04-05,,1,,Acita,,,sistema,pesquisa,,2023-04-05,,29,
2182,57,Assoc Coml Emprl de Itapira,49919863000156,,9244,13970160,323,,1939139444,19 3913-9447,1939139440,aciitapira@aciweb.com.br,www.aceitapira.com.br,S,t,Comendador Joao Cintra 323,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2183,55,ASSOCIAÇÃO COM.  IND. DE ITAPOA,00058942000120,2005-04-14,8511,89249000,1,,47 3443-1298,47 3443-1298,,,,S,t,,,,,,2023-01-17,2023-01-17,,1,,ACINI,,,sistema,Mluiza,,2023-01-17,,29,
2184,57,Assoc Coml Emprl de Itapolis,50420934000150,,9246,14900000,570,,1632621534,16 3262-2134,1632622164,aciitapolis@uol.com.br,www.aceitapolis.com.br,S,t,rua Odilon Negrao 570,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2186,54,Associação Comercial e Industrial de Itaqui,90929753000179,,7794,97650000,755,1º ANDAR,5534331716,55 3433-6199,55999413650,aciitaqui@yahoo.com.br,www.aciitaqui.com.br,S,t,rua Independência n° 755 - 2° Piso,CENTRO,,,,2023-04-05,2023-04-05,,1,,ACII,,,sistema,pesquisa,,2023-04-05,,29,
2187,57,Assoc Coml Emprl de Itatinga,57268088000144,1992-04-02,9255,18690000,61,,1438482019,14 3848-2020,1438482020,acitatinga@terra.com.br,www.acitatinga.com.br,S,t,r. sao Pedro 61,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2188,57,Assoc Coml Indl itu,50230440000103,,9260,13300055,1078,2º ANDAR,1140138833,,1140138833,acii@terra.com.br,www.aciitu.com.br,S,t,Floriano Peixoto 1078 2º Andar,CENTRO,,,,2023-04-05,2023-04-05,,1,,,,,sistema,pesquisa,,2023-04-05,,29,
2189,32,"Associação Comercial, Industrial e Serviços de Itumbiara",02438687000177,,2204,75503530,585,"3 º ANDAR, SALA 19",6434312973,64 3433-7492,64996650701,contato@acii.org.br,www.acii.org.br,S,t,"av. Trindade, 585",SETOR CENTRAL,,,,2023-04-05,2023-04-05,,1,,ACISI,,,sistema,pesquisa,,2023-04-05,,29,
