idusuario,idlingua,idexpprof,dtini,dtfim,dslocalidade,dsempresa,dsfuncao,dsdescri,flempratual
74,pt,1,01/2000,12/2002,Brasil / MG / Teófilo Otoni,Ass. Teófilo Otoni,Consultor Grupal,Consultor local com a gestão de 14 grupos setoriais de empresários com ações diversas de desenvolvimento empresarial e local,n
74,pt,2,01/2002,12/2006,Brasil/MG/Belo Horizonte,Federaminas,Consultor Regional,Consultor Estadual para monitoramento dos trabalhos de desenvolvimento das ACEs de Minas Gerais Z Projeto Empreender e Programa Capacitar,n
74,pt,3,01/2004,12/2005,Brasil/MG/Belo Horizonte,Sindirepa,Consultor Estadual,"Coordenador do Projeto BH-Oficinas, empreendido pelo Sindicato da Indústria de Reparação de Veículos e Assessórios do Estado de Minas Gerias em parceria com o Sebrae-MG e a Federação das Indústrias do Estado de Minas Gerais, com vistas à modernização das oficinas independentes. Foram trabalhados mais de 300 empresas na área de automecânicas nas cidades de Belo Horizonte, Sete Lagoas, e mais 03 cidades.",n
74,pt,4,01/2004,12/2004,Brasil/MG/Belo Horizonte,Sebrae/MG,Consultor Técnico,Consultor Técnico do Projeto de Inteligência Comercial do Pólo Moveleiro da Cidade de Ubá/MG Z Projeto Piloto,n
74,pt,5,01/2004,12/2008,Brasil/MG/Brasília,CACB,Consultor Técnico,Consultor Nacional para monitoramento dos trabalhos de desenvolvimento das ACEs do Brasil Z Projeto Empreender Nacional e Programa Capacitar Nordeste    Consultor de curto prazo do Programa Empreender Internacional (parceria entre CACB Z Confederação das Associações Empresariais do Brasil e o Sebrae) para a expansão e capacitação de consultores grupais em países da América do Sul e África.    Consultor de longo prazo do Programa Empreender Competitivo (parceria entre CACB Z Confederação das Associações Empresariais do Brasil e o Sebrae) para monitoramento de projetos do SIGEOR em Estados do Brasil.,n
74,pt,6,04/2006,04/2008,Brasil/PE/Recife,CACB,Consultor Regional,Consultor de longo prazo do projeto de cooperação (Ministério Federal de Desenvolvimento Econômico e de Cooperação da Alemanha) entre a Câmara de Ofícios de Essen da Alemanha e a Confederação das Associações Comerciais e Empresariais do Brasil - CACB com vistas ao desenvolvimento das micro e pequenas empresas e de 29 Associações Comerciais e Empresariais em nove Estados do Nordeste do Brasil.,n
74,pt,7,01/2007,12/2012,Moçambique/Beira,IDO Brasil,Gestor de Metodologia,"Gestor Internacional do Projeto de Desenvolvimento Organizacional, projeto de cooperação entre o Ministério Federal de Desenvolvimento Econômico, a  Cooperação da Alemanha para o Apoio Técnico ao desenvolvimento Z GTZ e o Ministério da Indústria e Comércio de Moçambique - MIC com vistas a melhoria e ampliação do diálogo público provado e fortalecimento das Associações Econômicas da Região Centro daquele País.",s
74,pt,8,08/2006,02/2009,Moçambique/Nampula,IDO Brasil,Gestor de Metodologia,Consultor de longo prazo do projeto de cooperação (Ministério Federal de Desenvolvimento Econômico e de Cooperação da Alemanha) entre os Centros de Profissionalização da Federação das Associações Empresariais da Baviera (bfz) e a Associação Comercial e Industrial de Nampula com vistas ao desenvolvimento organizacional da ACIANA e de vários grupos de empresários na Província de Nampula em Moçambique.,s
74,pt,9,01/2011,12/2012,Moçambique/Nampula e Maputo,IDO Brasil,Gestor de Metodologia,Consultor Gestor de metodologia do Projeto Process Caju Z Projeto de Desenvolvimento da Cadeia do Caju em Moçambique com foco no desenvolvimento organizacional da AICAJU. Parceria da GIZ e da ACA Z Associação do Caju Africano. Projeto 2010 Z 2013.,s
74,pt,11,01/2011,12/2012,Moçambique/Maputo,USAID,Especialista em Desenvolvimento Organizacional,Desenvolvimento de Planejamento estratégicos para entidade definidas pelo Grupo DO Projeto SPEED Moçambique.,n
74,pt,12,05/2012,12/2012,Angola/Luanda,IDO Brasil,Consultor Desenvolvimento Organizacional,Desenvolver e gerir projeto de desenvolvimento organizacional para Associações Empresariais. Projeto de Parceria da AIA e da IHK - Alemanha,s
74,pt,13,06/2011,12/2014,Moçambique/Nampula,BFZ,Consultor de Metodologia,Apoiar o desenvolvimento da metodologia do Projeto de Desenvolvimento Associativo em 03 Províncias na Região Norte de Moçambique. Financiado pela União Européia,n
75,pt,1,02/1997,12/2005,Brasil/SC/Joinville,Döhler S.A,Analista Exportação Vendas,"Döhler S.A Z Analista Exportação Vendas fevereiro de 1997 a dezembro de 2005 Z Venda, atendimento clientes da Europa, análise crítica, desenvolvimento de amostras, compra de insumos, acompanhamento total do pedido até o embarque, pós vendas Z qualidade.",n
75,pt,2,02/2006,02/2007,Brasil/SC/Joinville,Associação Mercaflor,Gerente Administrativo,"Associação Mercaflor Z fevereiro de 2006 a fevereiro 2007 Z Gestão Administrativa da associação, atividades de compra, cobrança, vendas, financeiro, contábil e suporte a diretoria em geral na elaboração de atas, arquivo e manutenção de documentos. Organização de cursos, palestras e missões internacionais.",n
75,pt,3,02/2007,08/2010,Brasil/SC/Joinville,Woerner Sistemas de Lubrificação,Secretária Executiva,"Woerner Sistemas de Lubrificação Ltda fevereiro 2007 a setembro/2010, Secretária Executiva Bilingüe  - forte atuação como assistente pessoal do diretor, tradução de documentos técnicos do alemão para o português e do português para o alemão, arquivo e manutenção de documentos pessoais e organizacionais.",n
75,pt,4,02/2011,05/2012,Brasil/SC/Joinville,Fundação Empreender,Gerente Administrativo,"Atividades administrativas em geral, como compras, contabilidade, RH, financeiro, vendas, suporte a diretoria. Venda e organização de eventos como reuniões, cursos, palestras, missões e estágios internacionais. Ramo: Capacitação de empresários.",s
80,pt,1,03/2012,06/2012,BRASIL/SC/BLUMENAU,ASSOCIACAO EMPRESARIAL DE BLUMENAU,ASSISTENTE ADMINISTRATIVO,"Prestacao de assessoria para os empresarios da regiao, organizando reunioes, agendando visitas e viagens de interesse dos empresarios na busca de solucoes para os problemas apresentados. Atuacao com outras entidades, publicas e privadas, em areas de interesse da comunidade.",s
83,pt,1,01/1998,06/2010,BRASIL/RJ/NOVA FRIBURGO,SEBRAE,TECNICO,ATENDIMENTO AOS EMPRESÁRIOS  GESTÃO DE PROJETOS  COORDENADORA DE AÇÕES JUNTO A PARCEIROS  APOIO OPERACIONAL  VENDAS DE PRODUTOS E SERVIÇOS DA ENTIDADE,n
85,pt,1,11/1111,11/1111,aaaaa,qqqqq,aaaa,aaaaaaaaaa,s
